slug,title,issue_type,confidence,details
"sketch-2018","Sketch","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"sketch-2018","Sketch","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"lust-stories-2-2023","Lust Stories 2","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Neena Gupta','reason':'Hero name matches known female actress'}"
"operation-2019-2018","Operation 2019","hero_heroine_same","high","{'name':'Manchu Manoj','reason':'Hero and heroine are identical'}"
"thillalangadi-2010","Thillalangadi","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"thillalangadi-2010","Thillalangadi","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"anbanavan-asaradhavan-adangadhavan-2017","Anbanavan Asaradhavan Adangadhavan","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Shriya Saran','reason':'Hero name matches known female actress'}"
"devi-l-2016","Devi(L)","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"devi-l-2016","Devi(L)","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"vasuvum-saravananum-onna-padichavanga-2015","Vasuvum Saravananum Onna Padichavanga","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"vasuvum-saravananum-onna-padichavanga-2015","Vasuvum Saravananum Onna Padichavanga","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"chand-sa-roshan-chehra-2005","Chand Sa Roshan Chehra","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"chand-sa-roshan-chehra-2005","Chand Sa Roshan Chehra","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"bhaagamathie-2018","Bhaagamathie","wrong_hero_gender","high","{'current_hero':'Anushka Shetty','heroine':'Anushka Shetty','reason':'Hero name matches known female actress'}"
"bhaagamathie-2018","Bhaagamathie","hero_heroine_same","high","{'name':'Anushka Shetty','reason':'Hero and heroine are identical'}"
