Priority,Completeness,Year,Title,Issues,TMDB_ID,URL
Medium,70%,2025,"How to Train Your Dragon","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1087192,http://localhost:3000/movies/how-to-train-your-dragon-2025
Medium,70%,2025,"Ballerina","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",541671,http://localhost:3000/movies/ballerina-2025
Medium,70%,2025,"Officer on Duty","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1281091,http://localhost:3000/movies/officer-on-duty-2025
Medium,70%,2025,"Superman","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1061474,http://localhost:3000/movies/superman-2025
Medium,70%,2025,"The Fantastic 4: First Steps","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",617126,http://localhost:3000/movies/the-fantastic-4-first-steps-2025
Medium,70%,2025,"Wicked: For Good","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",967941,http://localhost:3000/movies/wicked-for-good-2025
Medium,70%,2025,"A Working Man","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1197306,http://localhost:3000/movies/a-working-man-2025
Medium,70%,2025,"She Rides Shotgun","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1196573,http://localhost:3000/movies/she-rides-shotgun-2025
Medium,70%,2025,"The Long Walk","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",604079,http://localhost:3000/movies/the-long-walk-2025
Medium,70%,2025,"The Naked Gun","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1035259,http://localhost:3000/movies/the-naked-gun-2025
Medium,70%,2025,"Eternity","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1259102,http://localhost:3000/movies/eternity-2025
Medium,70%,2025,"Weapons","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1078605,http://localhost:3000/movies/weapons-2025
Medium,70%,2025,"Dhanraj","No English synopsis, No backdrop, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/dhanraj-2025
Medium,70%,2025,"Good Boy","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1422096,http://localhost:3000/movies/good-boy-2025
Medium,70%,2025,"Ponman","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1244068,http://localhost:3000/movies/ponman-2025
