slug	title_en	title_te	year	director	tmdb_id	has_poster	has_synopsis	url
baapu-2025	Baapu		2025	Dayakar Reddy K	1436664	YES	YES	http://localhost:3000/movies/baapu-2025
raju-weds-rambai-2025	Raju Weds Rambai		2025	Saailu Kaampati	1580640	YES	YES	http://localhost:3000/movies/raju-weds-rambai-2025
bhairavam-2025	Bhairavam		2025	Vijay Kanakamedala	1388451	YES	NO	http://localhost:3000/movies/bhairavam-2025
oka-pathakam-prakaaram-2025	Oka Pathakam Prakaaram		2025	Vinod Vijayan	1463175	YES	YES	http://localhost:3000/movies/oka-pathakam-prakaaram-2025
akkada-ammayi-ikkada-abbayi-2025	Akkada Ammayi Ikkada Abbayi		2025	NitinBharath	1462729	YES	YES	http://localhost:3000/movies/akkada-ammayi-ikkada-abbayi-2025
enuguthondam-ghatikachalam-2025	Enuguthondam Ghatikachalam		2025	Ravi Babu	1579744	YES	YES	http://localhost:3000/movies/enuguthondam-ghatikachalam-2025
mazaka-2025	Mazaka		2025	Trinadha Rao Nakkina	1418436	YES	YES	http://localhost:3000/movies/mazaka-2025
sundarakanda-2025	Sundarakanda		2025	Venkatesh Nimmalapudi	1277726	YES	YES	http://localhost:3000/movies/sundarakanda-2025
jack-2025	Jack		2025	Quentin Tarantino	184	YES	YES	http://localhost:3000/movies/jack-2025
ghaati-2025	Ghaati		2025	Radha Krishna Jagarlamudi	1249926	YES	YES	http://localhost:3000/movies/ghaati-2025
guard-2025	Guard: Revenge for Love	గార్డ్	2025	Joselito Altarejos	1234172	YES	YES	http://localhost:3000/movies/guard-2025
neeli-megha-shyama-2025	Neeli Megha Shyama		2025	Ravi S Varmaa	1414404	YES	YES	http://localhost:3000/movies/neeli-megha-shyama-2025
dear-uma-2025	Dear Uma		2025	Sai Rajesh Mahadav	1497222	YES	YES	http://localhost:3000/movies/dear-uma-2025
arjun-chakravarthy-2025	Arjun Chakravarthy		2025	Vikrant Srinivas	1541316	YES	YES	http://localhost:3000/movies/arjun-chakravarthy-2025
