Year,Title,Slug,Hero,Heroine,Director,Music_Director,Cinematographer,Editor,Writer,Producer,TMDB_ID,Genres
1983,Sangharshana,sangharshana-1983,Chiranjeevi,Vijayashanti,K. Murali Mohana Rao,K. Chakravarthy,Lok Singh,Kotagiri Venkateswara Rao,Paruchuri Brothers,K. Devi Vara Prasad,115000,Action
1983,Prema Pichollu,prema-pichollu-1983,Chiranjeevi,Radhika,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Kotagiri Venkateswara Rao,A. Kodandarami Reddy,K. C. Sekhar Babu,114999,Drama
1983,Roshagadu,roshagadu-1983,Chiranjeevi,Madhavi,K. S. R. Das,Satyam,V. S. R. Swamy,K. Rammohan Rao,Paruchuri Brothers,Pinjala Nageswara Rao,279339,Action
1983,Simhapuri Simham,simhapuri-simham-1983,Chiranjeevi,Radhika,Kodi Ramakrishna,K. Chakravarthy,P. S. Prakash,William Oswald,Kodi Ramakrishna,Mahesh Gopinath,369145,Action
1983,Aalaya Sikharam,aalaya-sikharam-1983,Chiranjeevi,Sumalatha,Kodi Ramakrishna,K. Chakravarthy,P. S. Prakash,Gautham Raju,Kodi Ramakrishna,M. Venkataratnam,115005,Drama
1983,Gudachari No.1,gudachari-no1-1983,Chiranjeevi,Radhika,Kodi Ramakrishna,K. Chakravarthy,P. Lakshman,K. Nageswara Rao,Kodi Ramakrishna,T. Trivikrama Rao,115004,Spy; Action
1983,Maga Maharaju,maga-maharaju-1983,Chiranjeevi,Suhasini,Vijaya Bapineedu,K. Chakravarthy,Lok Singh,G. G. Krishna Rao,Vijaya Bapineedu,Maganti Ravindranath,115000,Drama; Action
1983,Palleturi Monagadu,palleturi-monagadu-1983,Chiranjeevi,Radhika,S. A. Chandrasekhar,K. Chakravarthy,V. S. R. Swamy,V. Rajeshwara Rao,S. A. Chandrasekhar,Midde Rama Rao,114999,Action
1983,Khaidi,khaidi-1983,Chiranjeevi,"Madhavi, Sumalatha",A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Kotagiri Venkateswara Rao,Paruchuri Brothers,Tirupathiraya,115001,Action; Drama
1983,Abhilasha,abhilasha-1983,Chiranjeevi,Raadhika,A. Kodandarami Reddy,Ilaiyaraaja,Lok Singh,Kotagiri Venkateswara Rao,Yandamoori Veerendranath,K. S. Rama Rao,115003,Thriller; Romance
1982,Jaggu,jaggu-1982,Chiranjeevi,Radhika,P. Sambasiva Rao,K. Chakravarthy,S. Gopal Reddy,V. Rajeshwara Rao,P. Sambasiva Rao,K. C. Sekhar Babu,114998,Action
1982,Idi Pellantara,idi-pellantara-1982,Chiranjeevi,Radhika,Vijay Bhaskar,K. Chakravarthy,V.S.R. Swamy,G.G. Krishna Rao,Vijay Bhaskar,Kranthi Kumar,1536091,Drama; Romance; Family
1982,Intlo Ramayya Veedhilo Krishnayya,intlo-ramayya-veedhilo-krishnayya-1982,Chiranjeevi,Madhavi,Kodi Ramakrishna,K. Chakravarthy,P. S. Prakash,G.G. Krishna Rao,Kodi Ramakrishna,K. Raghava,114983,Comedy; Drama
1982,Sitadevi,sitadevi-1982,Chiranjeevi,Sujatha,Eranki Sharma,M.S. Viswanathan,G. Sivaram,K. Balu,Eranki Sharma,Chakravarthy,114631,Drama; Romance; Family
1982,Radha My Darling,radha-my-darling-1982,Chiranjeevi,,B. Bhaskara Rao,B. Shankar,V.S.R. Krishna Rao,K. Satyam,Maddhipatla Suri,Trinath Rao,279347,Drama
1982,Bandhalu Anubandhalu,bandhalu-anubandhalu-1982,Chiranjeevi,Lakshmi,Bhargava,K. V. Mahadevan,P. S. Prakash,K. Ravindra Babu,Bhargava,S. P. Bhargava,318855,Drama
1982,Mondi Ghatam,mondi-ghatam-1982,Chiranjeevi,Radhika,Raja Chandra,K. Chakravarthy,P. Chengaiah,Gautham Raju,Satyanand,Daggubati Bhaskara Rao,279346,Drama; Action
