#,Year,Title,Slug,TMDB_ID,Hero,Heroine,Supporting_Cast,Director,Music_Director,Cinematographer,Producer,Editor,Writer,Choreographer,Art_Director,Lyricist
"49","1994","Super Police","super-police-1994","279484","Daggubati Venkatesh","Nagma","Soundarya; D. Rama Naidu; Kota Srinivasa Rao; Jayasudha; Brahmanandam","K. Murali Mohana Rao","A.R. Rahman","S. Gopal Reddy","Daggubati Suresh Babu","","V. C. Guhanathan","","",""
"50","1993","Abbaigaru","abbaigaru-1993","261350","Daggubati Venkatesh","Meena","Brahmanandam; Kota Srinivasa Rao; Sudhakar; Allu Ramalingaiah","E.V.V. Satyanarayana","M.M. Keeravani","Rajan Kothari","M. Narasimha Rao","","","","",""
"51","1992","Chinarayudu","chinarayudu-1992","279490","Daggubati Venkatesh","Vijayashanti","Kota Srinivasa Rao; Nirmalamma; Babu Mohan","B. Gopal","Ilaiyaraaja","V.S.R. Swamy","P.R. Prasad","","","","",""
"52","1992","Chanti","chanti-1992","140742","Daggubati Venkatesh","Meena","Nassar; Brahmanandam; Sujatha; Kallu Chidambaram; Allu Ramalingaiah","Ravi Raja Pinisetty","Ilaiyaraaja","S. Gopal Reddy","K.S. Rama Rao","","","","",""
"53","1992","Chakravyuham","chakravyuham-1992","427845","Daggubati Venkatesh","Gautami","","B.V. Ramana","Madhavapeddi Suresh","M.V. Raghu","C.H.G. Rama Rao","","","","",""
"54","1992","Sundara Kanda","sundara-kanda-1992","259275","Daggubati Venkatesh","Meena, Aparna","Sindhuja; Junior Balaiah","K. Raghavendra Rao","M.M. Keeravani","Jayanan Vincent","K.V.V. Satyanarayana","","","","",""
"55","1992","Champion","champion-1992","1342674","Daggubati Venkatesh","Debora","Brahmanandam","B. Gopal","Bappi Lahiri","V.S.R. Swamy","D. Ramanaidu","","","","",""
"56","1991","Coolie No. 1","coolie-no-1-1991","279496","Daggubati Venkatesh","Tabu","Mohan Babu; Rao Gopal Rao; Sharada; Brahmanandam; Nirmalamma","K Raghavendra Rao","Ilaiyaraaja","S. Gopal Reddy","Daggubati Suresh Babu","","","","",""
"57","1991","Shatruvu","shatruvu-1991","259461","Daggubati Venkatesh","Vijayashanti","Kota Srinivasa Rao; Jeeva; Brahmanandam","Kodi Ramakrishna","Saluri Koteswara Rao","V. Lakshman","M. S. Raju","","","","",""
"58","1991","Surya IPS","surya-ips-1991","66409","Daggubati Venkatesh","Vijayashanti","Charan Raj; R. Sarathkumar; Kaikala Satyanarayana; Tarun; Nutan Prasad","A. Kodandarami Reddy","Ilaiyaraaja","V.S.R. Swamy","T. Subbarami Reddy","","","","",""
"59","1991","Kshana Kshanam","kshana-kshanam-1991","81072","Daggubati Venkatesh","Sridevi","Paresh Rawal; Rami Reddy; Brahmanandam; Narsing Yadav; Hema","Ram Gopal Varma","M.M. Keeravaani","S. Gopal Reddy","Akkineni Venkat","","Ram Gopal Varma","","",""
"60","1990","Aggiramudu","aggiramudu-1990","279497","Daggubati Venkatesh","Amala Akkineni","Gautami Tadimalla; Sharada; Jayalalita; Rohini","S S Ravichandra","K. Chakravarthy","S. Gopal Reddy","Sekar M Krishna","","","","",""
"61","1990","Bobbili Raja","bobbili-raja-1990","40907","Daggubati Venkatesh","Divya Bharti","Gummadi; Vanisri; Kota Srinivasa Rao; Brahmanandam; Sumithra","B. Gopal","Ilaiyaraaja","V.S.R. Swamy","Daggubati Suresh Babu","K. A. Marthand","Venkateswara Rao Paruchuri","","",""
"62","1989","Two Town Rowdy","two-town-rowdy-1989","279500","Daggubati Venkatesh","Radha","Krishnam Raju; Mohan Babu; Brahmanandam; Naresh","Dasari Narayana Rao","Saluri Koteswara Rao","V.S.R. Swamy","C. Venkataraju","","","","",""
