Section,Title,Year,Slug,Current Value,Suggested Value,Action
TMDB Issue,"Hitler",1997,hitler-1997,115053,"wrong_language",Fix
TMDB Issue,"Big Boss",1995,big-boss-1995,410217,"not_found",Fix
TMDB Issue,"Alluda Majaka",1995,alluda-majaka-1995,56391,"wrong_language",Fix
TMDB Issue,"Rikshavodu",1995,rikshavodu-1995,115051,"not_found",Fix
TMDB Issue,"Mugguru Monagallu",1994,mugguru-monagallu-1994,115049,"wrong_language",Fix
TMDB Issue,"S.P. Parasuram",1994,sp-parasuram-1994,318859,"wrong_language",Fix
TMDB Issue,"The Gentleman",1994,the-gentleman-1994,410224,"wrong_language",Fix
TMDB Issue,"Mechanic Alludu",1993,mechanic-alludu-1993,115046,"wrong_language",Fix
TMDB Issue,"Aapadbandhavudu",1992,aapadbandhavudu-1992,115042,"wrong_language",Fix
TMDB Issue,"Gharana Mogudu",1992,gharana-mogudu-1992,43232,"wrong_language",Fix
TMDB Issue,"Aaj Ka Goonda Raaj",1992,aaj-ka-goonda-raaj-1992,242907,"wrong_language",Fix
TMDB Issue,"Rowdy Alludu",1991,rowdy-alludu-1991,108503,"wrong_language",Fix
TMDB Issue,"Gang Leader",1991,gang-leader-1991,410214,"wrong_language",Fix
TMDB Issue,"Stuartpuram Police Station",1991,stuartpuram-police-station-1991,115038,"not_found",Fix
TMDB Issue,"Stuvartpuram Dongalu",1991,stuvartpuram-dongalu-1991,410228,"not_found",Fix
TMDB Issue,"Kodama Simham",1990,kodama-simham-1990,115037,"wrong_language",Fix
TMDB Issue,"Kondaveeti Donga",1990,kondaveeti-donga-1990,115035,"not_found",Fix
TMDB Issue,"Pratibandh",1990,pratibandh-1990,109631,"not_found",Fix
TMDB Issue,"Jagadeka Veerudu Athiloka Sundari",1990,jagadeka-veerudu-athiloka-sundari-1990,108501,"wrong_language",Fix
TMDB Issue,"Rudranetra",1989,rudranetra-1989,115040,"not_found",Fix
TMDB Issue,"Zulm Ki Zanjeer",1989,zulm-ki-zanjeer-1989,819866,"wrong_language",Fix
TMDB Issue,"State Rowdy",1989,state-rowdy-1989,115034,"wrong_language",Fix
TMDB Issue,"Khaidi No.786",1988,khaidi-no786-1988,115031,"not_found",Fix
TMDB Issue,"Manchi Donga",1988,manchi-donga-1988,115028,"wrong_language",Fix
TMDB Issue,"Rudraveena",1988,rudraveena-1988,40149,"wrong_language",Fix
TMDB Issue,"Antima Teerpu",1988,antima-teerpu-1988,320392,"wrong_language",Fix
TMDB Issue,"Yamudiki Mogudu",1988,yamudiki-mogudu-1988,115029,"wrong_language",Fix
TMDB Issue,"Marana Mrudangam",1988,marana-mrudangam-1988,115033,"wrong_language",Fix
TMDB Issue,"Trinetrudu",1988,trinetrudu-1988,115032,"not_found",Fix
TMDB Issue,"Jebu Donga",1987,jebu-donga-1987,115026,"wrong_language",Fix
TMDB Issue,"Swayamkrushi",1987,swayamkrushi-1987,43231,"wrong_language",Fix
