Section,Title,Year,Slug,Current Value,Suggested Value,Action
Missing writer,"Dharma Kshetram",1992,dharma-kshetram-1992,,,"Fill"
Missing producer,"Dharma Kshetram",1992,dharma-kshetram-1992,,,"Fill"
Missing cinematographer,"Aditya 369",1991,aditya-369-1991,,,"Fill"
Missing editor,"Aditya 369",1991,aditya-369-1991,,,"Fill"
Missing writer,"Aditya 369",1991,aditya-369-1991,,,"Fill"
Missing producer,"Aditya 369",1991,aditya-369-1991,,,"Fill"
Missing cinematographer,"Talli Tandrulu",1991,talli-tandrulu-1991,,,"Fill"
Missing editor,"Talli Tandrulu",1991,talli-tandrulu-1991,,,"Fill"
Missing writer,"Talli Tandrulu",1991,talli-tandrulu-1991,,,"Fill"
Missing producer,"Talli Tandrulu",1991,talli-tandrulu-1991,,,"Fill"
Missing cinematographer,"Matti Manushulu",1990,matti-manushulu-1990,,,"Fill"
Missing editor,"Matti Manushulu",1990,matti-manushulu-1990,,,"Fill"
Missing writer,"Matti Manushulu",1990,matti-manushulu-1990,,,"Fill"
Missing producer,"Matti Manushulu",1990,matti-manushulu-1990,,,"Fill"
Missing tmdb_id,"Matti Manushulu",1990,matti-manushulu-1990,,,"Fill"
Missing cinematographer,"Muddula Menalludu",1990,muddula-menalludu-1990,,,"Fill"
Missing editor,"Muddula Menalludu",1990,muddula-menalludu-1990,,,"Fill"
Missing writer,"Muddula Menalludu",1990,muddula-menalludu-1990,,,"Fill"
Missing producer,"Muddula Menalludu",1990,muddula-menalludu-1990,,,"Fill"
Missing cinematographer,"Nari Nari Naduma Murari",1990,nari-nari-naduma-murari-1990,,,"Fill"
Missing editor,"Nari Nari Naduma Murari",1990,nari-nari-naduma-murari-1990,,,"Fill"
Missing writer,"Nari Nari Naduma Murari",1990,nari-nari-naduma-murari-1990,,,"Fill"
Missing producer,"Nari Nari Naduma Murari",1990,nari-nari-naduma-murari-1990,,,"Fill"
Missing cinematographer,"Yamadharma Raju",1990,yamadharma-raju-1990,,,"Fill"
Missing editor,"Yamadharma Raju",1990,yamadharma-raju-1990,,,"Fill"
Missing writer,"Yamadharma Raju",1990,yamadharma-raju-1990,,,"Fill"
Missing producer,"Yamadharma Raju",1990,yamadharma-raju-1990,,,"Fill"
Missing tmdb_id,"Yamadharma Raju",1990,yamadharma-raju-1990,,,"Fill"
Missing cinematographer,"Prananiki Pranam",1990,prananiki-pranam-1990,,,"Fill"
Missing editor,"Prananiki Pranam",1990,prananiki-pranam-1990,,,"Fill"
Missing writer,"Prananiki Pranam",1990,prananiki-pranam-1990,,,"Fill"
Missing producer,"Prananiki Pranam",1990,prananiki-pranam-1990,,,"Fill"
Missing tmdb_id,"Prananiki Pranam",1990,prananiki-pranam-1990,,,"Fill"
Missing cinematographer,"Lorry Driver",1990,lorry-driver-1990,,,"Fill"
Missing editor,"Lorry Driver",1990,lorry-driver-1990,,,"Fill"
Missing writer,"Lorry Driver",1990,lorry-driver-1990,,,"Fill"
Missing producer,"Lorry Driver",1990,lorry-driver-1990,,,"Fill"
Missing cinematographer,"Ashoka Chakravarthy",1989,ashoka-chakravarthy-1989,,,"Fill"
Missing editor,"Ashoka Chakravarthy",1989,ashoka-chakravarthy-1989,,,"Fill"
Missing writer,"Ashoka Chakravarthy",1989,ashoka-chakravarthy-1989,,,"Fill"
Missing producer,"Ashoka Chakravarthy",1989,ashoka-chakravarthy-1989,,,"Fill"
Missing tmdb_id,"Ashoka Chakravarthy",1989,ashoka-chakravarthy-1989,,,"Fill"
Missing cinematographer,"Bala Gopaludu",1989,bala-gopaludu-1989,,,"Fill"
