Type,Movie,Year,Field,Current Value,Suggested Value,Confidence,Details,Action
conflicting_data,"Agni Gundam",1984,tmdb_id,"115012","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Goonda",1984,tmdb_id,"115006","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Mantri Gari Viyyankudu",1983,tmdb_id,"115002","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Shivudu Shivudu Shivudu",1983,tmdb_id,"279338","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Subhalekha",1982,tmdb_id,"114997","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Illanta Sandadi",1982,tmdb_id,"279344","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Nyayam Kavali",1981,tmdb_id,"114995","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Mogudu Kaavali",1980,tmdb_id,"114633","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Nakili Manishi",1980,tmdb_id,"303498","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Punnami Naagu",1980,tmdb_id,"303496","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Chattaniki Kallu Levu",1981,tmdb_id,"114993","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Kothala Raayudu",1979,tmdb_id,"358316","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"State Rowdy",1989,tmdb_id,"115034","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Oorukichina Maata",1981,tmdb_id,"320390","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Sri Rama Bantu",1979,tmdb_id,"1301213","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Mahanagaramlo Mayagadu",1984,tmdb_id,"318857","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Sangharshana",1983,tmdb_id,"115000","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Billa Ranga",1982,tmdb_id,"114997","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Manchu Pallaki",1982,tmdb_id,"114996","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Veta",1986,tmdb_id,"115020","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Jathara",1980,tmdb_id,"417180","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Prema Pichollu",1983,tmdb_id,"114999","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Bhola Shankar",2023,tmdb_id,"864221","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Hitler",1997,tmdb_id,"115053","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Aapadbandhavudu",1992,tmdb_id,"115042","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Gharana Mogudu",1992,tmdb_id,"43232","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Yamudiki Mogudu",1988,tmdb_id,"115029","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Antima Teerpu",1988,tmdb_id,"320392","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Rakshasudu",1986,tmdb_id,"115021","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Rojulu Marayi",1984,tmdb_id,"279126","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Roshagadu",1983,tmdb_id,"279339","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Agni Samskaram",1980,tmdb_id,"1540960","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Kodama Simham",1990,tmdb_id,"115037","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Jagadeka Veerudu Athiloka Sundari",1990,tmdb_id,"108501","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Chakravarthy",1987,tmdb_id,"115024","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Magadheerudu",1986,tmdb_id,"115022","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Simhapuri Simham",1983,tmdb_id,"369145","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Inti Guttu",1984,tmdb_id,"115009","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Kirayi Rowdylu",1981,tmdb_id,"114994","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Rakta Bandham",1980,tmdb_id,"320385","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Mondi Ghatam",1982,tmdb_id,"279346","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Adavi Donga",1985,tmdb_id,"441006","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Yamakinkarudu",1982,tmdb_id,"279345","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Chanakya Sapatham",1986,tmdb_id,"279121","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Rana",1984,tmdb_id,"369151","-",70%,"TMDB ID not found - ID should be cleared",flag_review
