Year,Title,Slug,Director,Heroine,Music,Cinematographer,Editor,Writer,Producer,TMDB_ID,Missing
1983,"Abhilasha",abhilasha-1983,"A. Kodandarami Reddy","Radikaa Sarathkumar","Ilaiyaraaja","","","","K. S. Rama Rao",278423,"Cine; Edit; Writ"
1983,"Khaidi",khaidi-1983,"A. Kodandarami Reddy","Sumalatha","K. Chakravarthy","","","Gopalakrishna Paruchuri","K Dhanunjaya Reddy",269834,"Cine; Edit"
1983,"Gudachari No.1",gudachari-no1-1983,"Kodi Ramakrishna","Radikaa Sarathkumar","K. Chakravarthy","","","","Trivikrama Rao T.",279333,"Cine; Edit; Writ"
1982,"Jaggu",jaggu-1982,"Kodandarami Reddy","Rathi","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1982,"Illanta Sandadi",illanta-sandadi-1982,"Relangi Narasimha Rao","Suhasini","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1982,"Bandhalu Anubandhalu",bandhalu-anubandhalu-1982,"H. R. Bhargava","Lakshmi with Chiranjeevi in a key special appearance","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1982,"Subhalekha",subhalekha-1982,"K. Viswanath","Sumalatha","K. V. Mahadevan","","","","Allu Aravind",267687,"Cine; Edit; Writ"
1982,"Tingu Rangadu",tingu-rangadu-1982,"T. L. V. Prasad","Geetha","K. Chakravarthy","","","","",267688,"Cine; Edit; Writ; Prod"
1981,"Kirayi Rowdylu",kirayi-rowdylu-1981,"A. Kodandarami Reddy","No Female Lead","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1981,"Tirugu Leni Manishi",tirugu-leni-manishi-1981,"K Raghavendra Rao","Chiranjeevi","K. V. Mahadevan","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1981,"Srirasthu Subhamasthu",srirasthu-subhamasthu-1981,"Katta Subba Rao","Saritha","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1981,"Patnam Vachina Pativrathalu",patnam-vachina-pativrathalu-1981,"Mouli","Radikaa Sarathkumar","Chellapilla Satyanarayana Sastry","","","","Atluri Radha Krishna Murthy",279286,"Cine; Edit; Writ"
1981,"Nyayam Kavali",nyayam-kavali-1981,"K. Vasu","Sumalatha","K. Chakravarthy","","B. Krishnam Raju","","Kranthi Kumar",938146,"Cine; Writ"
1981,"Chattaniki Kallu Levu",chattaniki-kallu-levu-1981,"S A Chandrasekhar","Madhavi","Krishna-Chakra","","","","Venkineli Satyanarayana",279351,"Cine; Edit; Writ"
1981,"Rani Kasula Rangamma",rani-kasula-rangamma-1981,"T. L. V. Prasad","Sridevi","K. Chakravarthy","","","Dasam Gopalakrishna","T. Prakash Rao",1238540,"Cine; Edit"
1980,"Mogudu Kaavali",mogudu-kaavali-1980,"K. Vasu","Jaya Prada","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1980,"Agni Samskaram",agni-samskaram-1980,"K. Vasu","Maadhavi","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1980,"Nakili Manishi",nakili-manishi-1980,"K. Vasu","Sujatha","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1980,"Thathayya Premaleelalu",thathayya-premaleelalu-1980,"B. V. Prasad","No Female Lead","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1980,"Punnami Naagu",punnami-naagu-1980,"Dadasaheb Balavant Padhye","Rathi Agnihotri","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1980,"Love In Singapore",love-in-singapore-1980,"Anjaneyulu","Latha Sethupathi","Ganesh","","","","M Chanra Kumar",279367,"Cine; Edit; Writ"
1980,"Aarani Mantalu",aarani-mantalu-1980,"KVAS","Kaikala Satyanarayana's daughter -  Kaikala Silk","","","","","",1301222,"Cine; Edit; Writ; Prod"
1980,"Chandipriya",chandipriya-1980,"V. Madhusudhana Rao","Kausalya","","","","","",1301220,"Cine; Edit; Writ; Prod"
1979,"Idi Katha Kaadu",idi-katha-kaadu-1979,"K. Balachander","Jayasudha","M. S. Viswanathan","","","","",429534,"Cine; Edit; Writ; Prod"
1979,"Kothala Raayudu",kothala-raayudu-1979,"K. Vasu","Madhavi","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1979,"I Love You",i-love-you-1979,"Vayu Nandana Rao","Suvarna","","","","","",1301211,"Cine; Edit; Writ; Prod"
1979,"Kukka Katuku Cheppu Debba",kukka-katuku-cheppu-debba-1979,"Eeranki Sharma","Madhavi","M. S. Viswanathan","","","","Chalasani Gopi",1301205,"Cine; Edit; Writ"
1978,"Mana Voori Pandavulu",mana-voori-pandavulu-1978,"Bapu","Krishnam Raju","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1978,"Chiranjeevi Rambabu",chiranjeevi-rambabu-1978,"Dasari Narayana Rao","Latha","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1978,"Pranam Khareedu",pranam-khareedu-1978,"K Vasu","Jayasudha","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
