id,slug,title,year,issue_type,issue_description,current_value,suggested_action,severity
"845186f1-e99b-4b5e-8cec-5fe5b9c731e5","queen-live-at-wembley-stadium-1986","Queen: Live at Wembley Stadium",1986,"BAD_SLUG","Slug is a Wikidata ID instead of proper slug","queen-live-at-wembley-stadium-1986","Generate proper slug from title","medium"
"4ee04841-db53-48e1-af11-3852612bca82","kurukshetramlo-sita-1984","Kurukshetramlo Sita",1984,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Kurukshetramlo Sita","Verify if this is a feature film or should be removed/reclassified","medium"
"2f2684e9-4ef1-4173-9c5a-4ae3b918959b","qayamat-1983","Qayamat",1983,"BAD_SLUG","Slug is a Wikidata ID instead of proper slug","qayamat-1983","Generate proper slug from title","medium"
"00bfa782-814f-4445-8644-5d10e72a7255","vincent-1982","Vincent",1982,"MISSING_HEROINE","Heroine is missing","Hero: Vincent Price","Research and add heroine","medium"
"f04946d7-fa51-4bd4-9db6-b504ca645ba1","jathara-1980","Jathara",1980,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Jathara","Verify if this is a feature film or should be removed/reclassified","medium"
"1a2d75cb-f7af-44c0-b7ad-eaf4b4bcfc31","karunamayudu-1978","Karunamayudu",1978,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "award")","Karunamayudu","Verify if this is a feature film or should be removed/reclassified","medium"
"704edb69-90f9-4d4f-a61e-ea105e06e853","kurukshetram-1977","Kurukshetram",1977,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Kurukshetram","Verify if this is a feature film or should be removed/reclassified","medium"
"b5d0ff8b-4368-46af-a161-076915bdab91","adavi-ramudu-1977","Adavi Ramudu",1977,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "award")","Adavi Ramudu","Verify if this is a feature film or should be removed/reclassified","medium"
"2b6791f3-5531-46ae-879f-afa276fefad1","bhale-dongalu-1976","Bhale Dongalu",1976,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Bhale Dongalu","Verify if this is a feature film or should be removed/reclassified","medium"
"aca393b6-a80d-49a7-86af-c8de1d0a8027","vidhi-vilasam-1970","Vidhi Vilasam",1970,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "award")","Vidhi Vilasam","Verify if this is a feature film or should be removed/reclassified","medium"
"4152ff8d-d1f8-4d16-9a8a-3240704bafe0","kathanayakudu-1969","Kathanayakudu",1969,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "award")","Kathanayakudu","Verify if this is a feature film or should be removed/reclassified","medium"
"cce499ce-0564-40b5-bf70-ec5e97ea2adb","who-is-she-1966","Who is she?",1966,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Who is she?","Verify if this is a feature film or should be removed/reclassified","medium"
"97aec26f-f735-4dc8-91af-15d154c31483","lava-kusa-1963","Lava Kusa",1963,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "award")","Lava Kusa","Verify if this is a feature film or should be removed/reclassified","medium"
"27353947-7da8-49f1-8cfa-d8688684073e","amara-deepam-1956","Amara Deepam",1956,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Amara Deepam","Verify if this is a feature film or should be removed/reclassified","medium"
"e46179d7-0116-4d05-9ff2-6fa7043ee737","duck-amuck-1953","Duck Amuck",1953,"MISSING_HEROINE","Heroine is missing","Hero: Mel Blanc","Research and add heroine","medium"
"7a937526-3443-4606-840a-0f6343d29a86","swetha-5-10-wellington-road-2013","Swetha 5/10 Wellington Road",2009,"PLACEHOLDER_POSTER","Poster URL is a placeholder","/images/placeholders/telugu-modern.svg","Find and update with actual poster URL","low"
"06fbeb2c-ab89-423c-9e63-6009e3e96688","sundaraniki-thondarekkuva-2006","Sundaraniki Tondarekkuva",2006,"PLACEHOLDER_POSTER","Poster URL is a placeholder","https://via.placeholder.com/500x750/FF6600/FFFFFF?text=Sundaraniki+Thondarekkuva+(2006)","Find and update with actual poster URL","low"
