Title,Year,Director,Hero,TMDB ID,Slug,Review URL
"Rama Banam",1979,"K Vasu","N.T. Rama Rao",,rama-banam-1979,http://localhost:3000/reviews/rama-banam-1979
"Maavari Manchitanam",1979,"B","Gummadi Venkateswara Rao",,maavari-manchitanam-1979,http://localhost:3000/reviews/maavari-manchitanam-1979
"Gorintaku",1979,"K. Vasu","Sobhan Babu",,gorintaku-1979,http://localhost:3000/reviews/gorintaku-1979
"Naa Illu Naa Vallu",1979,"Raja Chandra","Giribabu",,naa-illu-naa-vallu-1979,http://localhost:3000/reviews/naa-illu-naa-vallu-1979
"Driver Ramudu",1979,"K Vasu","N.T. Rama Rao",,driver-ramudu-1979,http://localhost:3000/reviews/driver-ramudu-1979
"Samajaniki Savaal",1979,"S.P. Rajaram","Krishna",,samajaniki-savaal-1979,http://localhost:3000/reviews/samajaniki-savaal-1979
"Vetagaadu",1979,"K Vasu","N.T. Rama Rao",,vetagaadu-1979,http://localhost:3000/reviews/vetagaadu-1979
"Maavaari Manchithanam",1979,"Bhavanichandra","Krishnam Raju",,maavaari-manchithanam-1979,http://localhost:3000/reviews/maavaari-manchithanam-1979
"Yevadabbasommu",1979,"K.S.R. Das","Krishna",,yevadabbasommu-1979,http://localhost:3000/reviews/yevadabbasommu-1979
"ViyyalavariKayyalu",1979,"K. Kattubadi","Krishna",,viyyalavarikayyalu-1979,http://localhost:3000/reviews/viyyalavarikayyalu-1979
"Guppedu Manasu",1979,"K. Balachander","Sarath Babu",,guppedu-manasu-1979,http://localhost:3000/reviews/guppedu-manasu-1979
"Sanku Teertham",1979,"K. Viswanath","Krishna",,sanku-teertham-1979,http://localhost:3000/reviews/sanku-teertham-1979
"Kotta Alludu",1979,"K. Vasu","Krishna",,kotta-alludu-1979,http://localhost:3000/reviews/kotta-alludu-1979
"Muthaiduva",1979,"P. Chandrasekhara Reddy","Krishna",,muthaiduva-1979,http://localhost:3000/reviews/muthaiduva-1979
"Toorpu Velle Railu",1979,"Bapu","Jyothi",,toorpu-velle-railu-1979,http://localhost:3000/reviews/toorpu-velle-railu-1979
"Needa",1979,"Dasari Narayana Rao","Krishnam Raju",,needa-1979,http://localhost:3000/reviews/needa-1979
"Karthika Deepam",1979,"Lakshmi Deepak","Geetha",,karthika-deepam-1979,http://localhost:3000/reviews/karthika-deepam-1979
"Allari Bullodu",1978,"G.C. Sekhar","Krishna",,allari-bullodu-1978,http://localhost:3000/reviews/allari-bullodu-1978
"Rickshaw Raji",1978,"K. Vasu","Krishnam Raju",,rickshaw-raji-1978,http://localhost:3000/reviews/rickshaw-raji-1978
"Indradhanasu",1978,"K. Bapaiah","Krishna",,indradhanasu-1978,http://localhost:3000/reviews/indradhanasu-1978
"Radha Krishna",1978,"K Vasu","Krishnam Raju",,radha-krishna-1978,http://localhost:3000/reviews/radha-krishna-1978
"Seetamalakshmi",1978,"K. Vasu","Chandra Mohan",,seetamalakshmi-1978,http://localhost:3000/reviews/seetamalakshmi-1978
"Vichitra Jeevitham",1978,"K. Vasu","Krishnam Raju",,vichitra-jeevitham-1978,http://localhost:3000/reviews/vichitra-jeevitham-1978
"Mallepoovu",1978,"K Vasu","Sobhan Babu",,mallepoovu-1978,http://localhost:3000/reviews/mallepoovu-1978
"Doo Doo Basavanna",1978,"B V Prasad","Chalam",,doo-doo-basavanna-1978,http://localhost:3000/reviews/doo-doo-basavanna-1978
"Kondura",1978,"K. Vasu","Vishnuvardhan",,kondura-1978,http://localhost:3000/reviews/kondura-1978
"Pranam Khareedu",1978,"K Vasu","Chiranjeevi",,pranam-khareedu-1978,http://localhost:3000/reviews/pranam-khareedu-1978
"Sommokadidi Sokokadidi",1978,"Singeetam Srinivasa Rao","Kamal Haasan",,sommokadidi-sokokadidi-1978,http://localhost:3000/reviews/sommokadidi-sokokadidi-1978
"Sati Savithri",1978,"Bapu","Krishnam Raju",,sati-savithri-1978,http://localhost:3000/reviews/sati-savithri-1978
"Lawyer Viswanath",1978,"S. D. Lal","Sobhan Babu",,lawyer-viswanath-1978,http://localhost:3000/reviews/lawyer-viswanath-1978
"Manavoori Pandavulu",1978,"Aldel","Krishnam Raju",,manavoori-pandavulu-1978,http://localhost:3000/reviews/manavoori-pandavulu-1978
"Chali Cheemalu",1978,"K. Vasu","Krishnam Raju",,chali-cheemalu-1978,http://localhost:3000/reviews/chali-cheemalu-1978
"Mundadugu",1978,"Dasari Narayana Rao","Krishna",,mundadugu-1978,http://localhost:3000/reviews/mundadugu-1978
"Khaidi No. 77",1978,"V. Hanuman Prasad","Murali Mohan",,khaidi-no-77-1978,http://localhost:3000/reviews/khaidi-no-77-1978
"Padaharella Vayasu",1978,"K. Vasu","Sobhan Babu",,padaharella-vayasu-1978,http://localhost:3000/reviews/padaharella-vayasu-1978
"Jaganmohini",1978,"B. Vittalacharya","Krishnam Raju",,jaganmohini-1978,http://localhost:3000/reviews/jaganmohini-1978
"Bommarillu",1978,"K. Balachander","Krishnam Raju",,bommarillu-1978,http://localhost:3000/reviews/bommarillu-1978
