"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"daggubati venkatesh","Narappa","2021","Actor (Supporting)","✓ EXISTS","Narappa","నారప్ప","2021","100","1c0c9eba-1f78-46dd-943b-a050d1b593af","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","F3: Fun and Frustration","2022","Actor (Supporting)","✓ EXISTS","F3: Fun and Frustration","ఫ3: ఫున అండ్ ఫరుసటరాటిోన","2022","100","b7626c9d-a6be-437c-b1e6-51df7cc69ba4","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Kisi Ka Bhai Kisi Ki Jaan","2023","Actor (Supporting)","✓ EXISTS","Kisi Ka Bhai... Kisi Ki Jaan","కిసి కా బహాి... కిసి కి జాాన","2023","89","e04ca82a-ba9a-4b05-8cd3-e9558cd852b2","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Saindhav","2024","Actor (Supporting)","✓ EXISTS","Saindhav","సైంధవ్","2024","100","c4fa320c-cd81-490d-b75c-a1b8da516f04","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Sankranthiki Vasthunam","2025","Actor (Supporting)","✓ EXISTS","Sankranthiki Vasthunam","సంక్రాంతికి వస్తున్నాం","2025","100","7644c301-207d-47f9-8e8a-e0bd5a105113","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Mana Shankara Vara Prasad Garu","2026","Extended Cameo (Cameo)","✓ EXISTS","Mana Shankara Vara Prasad Garu","మన శంకర వర ప్రసాద్ గారు","2026","100","003f3973-3b96-4590-9a66-5d6e74eef181","Add daggubati venkatesh to cast/crew"
"geetha","Yuvathurki","1996","Actor (Supporting)","✓ EXISTS","Yuvathurki","యువాటహురకి","1996","100","26931e42-1f85-4754-bede-0e2b8f6463bc","Add geetha to cast/crew"
"geetha","Anwar","2010","Actor (Supporting)","✓ EXISTS","Anwar","","2010","100","a12494fe-c816-4bab-9bbf-2d398253531f","Add geetha to cast/crew"
"geetha","Uppukandam Brothers: Back in Action","2011","Archive footage Cameo (Cameo)","✓ EXISTS","Uppukandam Brothers Back In Action","ుపపుకానడామ బరోటహెరస బాకక ిన యాక్షన్","2011","97","1a875f10-3238-4b42-a00f-8830efd3ca37","Add geetha to cast/crew"
"geetha","Mana Voori Pandavulu","1978","Actor (Supporting)","✓ EXISTS","Mana Voori Pandavulu","మన వోోరి పానడావులు","1978","100","1d89b678-a3b6-4250-ad27-317c295131f4","Add geetha to cast/crew"
"geetha","Iddaru Asadhyule","1979","Actor (Supporting)","✓ EXISTS","Iddaru Asadhyule","ఇద్దరు ాసాడహయులె","1979","100","20e59aa7-a5c9-477e-bc9b-2ae946def935","Add geetha to cast/crew"
"geetha","Thathayya Premaleelalu","1980","Actor (Supporting)","✓ EXISTS","Thathayya Premaleelalu","టహాటహాయయా పరెమాలెెలాలు","1980","100","04863e56-3867-430a-9238-610049a37474","Add geetha to cast/crew"
"geetha","Sagara Sangamam","1983","Actor (Supporting)","✓ EXISTS","Saagara Sangamam","సాగర సంగమం","1983","93","d40fc607-a589-409d-ad3c-5c8a655399a0","Add geetha to cast/crew"
