title_en,release_year,director,hero,rating
Bhale Thammudu,1969,B.A. Subba Rao,N. T. Rama Rao,7.5
Sati Savithri,1978,B. A. Subba Rao,Krishnam Raju,7.5
Mallamma Katha,1973,Kovai Nagendra Rao,Krishna,7.5
Loguttu Perumallukeruka,1966,K.S.R. Das,Krishna,7.5
Raja Simha,1969,K. Vasu,N. T. Rama Rao,7.5
Bhakta Raghunath,1960,Samudrala Sr.,Akkineni Nageswara Rao,7.5
Kalisochina Adrushtam,1968,K. Viswanath,N. T. Rama Rao,7.5
Abhimanavathi,1975,P. Dhoondy,Krishna,7.5
Srivari Muchatlu,1980,K. Vasu,Akkineni Nageswara Rao,7.5
Palletoori Bava,1973,K. Vasu,Akkineni Nageswara Rao,7.5
Manasu Mangalyam,1971,K. Pratyagatma,Akkineni Nageswara Rao,7.5
Radhika,1947,V. Nagayya,Akkineni Nageswara Rao,7.5
Murali Krishnudu,1988,A. Kodandarami Reddy,Nagarjuna Akkineni,7.5
Leta Manasulu,1966,Krishnan-Panju,Haranath,7.5
Garuda Garvabhangam,1943,Ghantasala Balaramayya,Vemuri Gaggaiah,7.5
Vaali – Sugreeva,1950,B.S. Ranga,N. T. Rama Rao,7.5
Marina Manishi,1970,C. S. Rao,Krishna,7.5
Choodamani,1941,P. Pullaiah,C.S.R. Anjaneyulu,7.5
Vijayam Manade,1970,C.S. Rao,Akkineni Nageswara Rao,7.5
Gaju Bommalu,1983,A. Kodandarami Reddy,Naresh,7.5
Jagath Kiladeelu,1969,I.N. Murthy,Krishna,7.5
Bharyabhartala Bandham,1985,V. B. Rajendra Prasad,Akkineni Nageswara Rao,7.5
Gajula Kishtayya,1975,K. Vasu,Krishna,7.5
Thirugubatu,1950,P. Pullaiah,C. H. Narayana Rao,7.5
Vimukthi Kosam,1983,K. Vasu,Krishnam Raju,7.5
Prana Mithrulu,1967,P. Pullaiah,Akkineni Nageswara Rao,7.5
Bava Maradallu,1961,P.A. Padmanabha Rao,Akkineni Nageswara Rao,7.5
Sisindri Chittibabu,1971,A. Sanjeevi,Sobhan Babu,7.5
Bangaru Chellelu,1979,B. A. Subba Rao,Allu Rama Lingaiah,7.5
Dakshayagnam,1962,C.H. Narayana Murthy,N. T. Rama Rao,7.5
Devadas Kanakala,1982,R. Suresh Varma,Krishnam Raju,7.5
Chandrahasa,1965,B.S. Ranga,N. T. Rama Rao,7.5
Iddaru Kiladeelu,1983,Relangi Narasimha Rao,Suman,7.5
Prema Natakam,1981,Katta Subba Rao,Murali Mohan,7.5
Tirugubatu,1985,Dasari Narayana Rao,Krishnam Raju,7.5
Iddaru Pellalu,1954,F. Nageswara Rao,N. T. Rama Rao,7.5
Jai Jawan,1970,D. Yoganand,Akkineni Nageswara Rao; Krishnam Raju,7.5
Naga Panchami,1956,D.Yoganand,N. T. Rama Rao,7.5
Pidugu Ramudu,1966,B. Vittalacharya,N. T. Rama Rao,7.5
Sonta Ooru,1956,Baoji,Akkineni Nageswara Rao,7.5
Varalakshmi Vratham,1961,B. Vittalacharya,Kanta Rao,7.5
Runanubandham,1960,Vedantam Raghavayya,Akkineni Nageswara Rao,7.5
Cherapakura Chedevu,1955,Fafdas,N. T. Rama Rao,7.5
Praja Seva,1952,K. Prabhakar Rao,Sivaji Ganesan,7.5
Maa Vadina,1967,K. Pratyagatma,Gummadi; Haranath,7.5
Srirasthu Shubamasthu,1981,Dasari Narayana Rao,Akkineni Nageswara Rao,7.5
Babruvahana,1942,R. S. Prakash,Akkineni Nageswara Rao,7.5
Annadammula Katha,1975,Dasari Narayana Rao,N. T. Rama Rao,7.5
Q16311395,1978,A. Bhimsingh,Vijayachander,7.5
Chilaka Josyam,1983,A Kodandarami Reddy,Arun Kumar,7.5
Subha Muhurtham,1983,Relangi Narasimha Rao,Chandra Mohan,7.5
Swarajyam,1983,Bhabendra,Krishnam Raju,7.5
Kurukshetramlo Sita,1984,B. V. Prasad,Mohan Babu,7.5
Lakshmi Kataksham,1970,B. Vittalacharya,N. T. Rama Rao,7.5
Digivachina Devudu,1983,K. Vasu,Lokesh,7.5
Dwapayana Kaivalyam,1967,G.K. Brahmanandam,Tadepalli Lakshmi Kanta Rao,7.5
Chesina Baasalu,1980,K. S. R. Das,Sobhan Babu,7.5
Paduka Pattabhishekam,1945,Kadaru Nagabhushanam,C.S.R. Anjaneyulu,7.5
Palnati Simham,1985,A. Kodandarami Reddy,Krishna,7.5
Kalachakram,1940,R. S. Prakash,V. Nagayya,7.5
Andagaadu,1982,Bhargava,Rajinikanth,7.5
Vaikuntapali,1975,K. Vasu,Krishna,7.5
Iddaru Iddare,1976,A,Krishnam Raju,7.5
Shakuntala,1966,K. Kameswara Rao,N. T. Rama Rao,7.5
Jeevana Mukthi,1942,R. S. Prakash,V. Nagayya,7.5
Bhadram Koduko,1992,A. Kodandarami Reddy,Naresh,7.5
Illali Korikalu,1982,G. Ramamohana Rao,Shoban Babu,7.5
Telugunaadu,1982,K. Vasu,Sarath Babu,7.5
Dharma Poratam,1983,T. Krishna,Rajasekhar,7.5
Ikanaina Marandi,1983,G. Ramamohana Rao,Suman,7.5
Mala Pilla,1938,Gudavalli Ramabrahmam,P. Suri Babu,7.5
Sanjog,1985,K. Viswanath,Jeetendra,7.4
Naya Kadam,1984,K. Raghavendra Rao,Rajesh Khanna,7.4
Hello!,2017,Vikram Kumar,Akhil Akkineni,7.4
RRR: Behind & Beyond,2024,S. S. Rajamouli,N. T. Rama Rao Jr.,7.4
Rajakiya Chadurangam,1988,P. Chandrasekhara Reddy,Krishna,7.3
Attagaru Kotha Kodalu,1968,Akkineni Sanjeevi Rao,Krishna,7.3
Maa Nanna Ki Pelli,1997,E. V. V. Satyanarayana,Krishnam Raju,7.3
Bhakta Kabiru,1944,R. Nagendra Rao,Chittoor V. Nagaiah,7.3
Yuvaraju,1982,Dasari Narayana Rao,Akkineni Nageswara Rao,7.3
Bangaru Bhoomi,1982,P. Chandrasekhara Reddy,Krishna,7.3
Athili Sathibabu LKG,2007,E. V. V. Satyanarayana,Allari Naresh,7.3
Bhagasthulu,1975,K. Viswanath,Krishnam Raju,7.3
Paramanandayya Sishyula Katha,1966,Chittajalu Pullayya,N. T. Rama Rao,7.3
Bangaru Babu,1973,V. B. Rajendra Prasad,Akkineni Nageswara Rao,7.3
Bharathi,1975,K. Viswanath,Krishnam Raju,7.3
Who is she?,1966,B. S. Narayana,Kongara Jaggayya,7.3
Athili Sattibabu Lkg,2007,Athili Sattibabu Lkg,E V V Satyanarayana,7.3
Maa Nanna Nirdhoshi,1970,K. V. Nandana Rao,Krishna,7.3
Cinema Chupista Maava,2015,Trinadha Rao Nakkina,Raj Tarun,7.3
Bhakta Prahlada,1931,H.M. Reddy,Valluru Subbaiah,7.3
Hoshiyar,1985,K. Raghavendra Rao,Jeetendra,7.2
Pekata Papa Rao,1993,Y. Nageswara Rao,Rajendra Prasad,7.2
Bhadrakali,1977,A. C. Tirulokachandar,Murali Mohan,7.2
Indrajeet,1991,K.V. Raju,Amitabh Bachchan,7.2
Agni Pareeksha,1970,K. Varaprasada Rao,Gummadi,7.2
Ullasanga Utsahanga,2008,A. Karunakaran,Yasho Sagar,7.2
Iddaru Iddare,1990,A. Kodandarami Reddy,Akkineni Nagarjuna,7.2
Bharya,1968,K.S. Prakash Rao,Krishna,7.2
Swarag Se Sunder,1986,K. Bapayya,Jaya Prada,7.2
Ratnamala,1948,P.S. Ramakrishna Rao,Akkineni Nageswara Rao,7.2
Laadla,1994,Raj Kanwar,Anil Kapoor,7.2
Judaai,1997,Raj Kanwar,Anil Kapoor,7.2
Dharm Adhikari,1986,K. Raghavendra Rao,Dilip Kumar,7.2
Maayani Mamata,1970,Kamalakara Kameswara Rao,N. T. Rama Rao,7.2
Jwaala,1985,R.P. Swamy,Chiranjeevi,7.1
Chuttalunnaru Jagrattha,1980,B. V. Prasad,Krishna,7.1
Asadhyudu,1968,V. Ramachandra Rao,Krishna,7
Samardhudu,2009,Arjun,Krishnam Raju,7
Lamhe,1991,Yash Chopra,Sridevi,7
Gurudev,1993,Vinod Mehra,Rishi Kapoor,7
Paappi Devataa,1995,Harmesh Malhotra,Dharmendra,7
Tiger,1979,Nandamuri Ramesh,N. T. Rama Rao,7
Maavidakulu,1998,E. V. V. Satyanarayana,Jagapathi Babu,7
Haisiyat,1984,Dasari Narayana Rao,Jaya Prada,7
Kalakaar,1983,Parvataneni Sambasiva Rao,Kunal Goswami,7
Ram Raheem,1974,B.A. Subba Rao,N. T. Rama Rao,7
Lawyer Vishwanath,1978,S D Lal,N. T. Rama Rao,7
Collector Garu,1997,B. Gopal,Mohan Babu,7
Fire and Flames,1986,K. Bapayya,Jeetendra,7
Aaviri,2019,Ravi Babu,Ravi Babu,7
Kaviratna Kalidasa,1983,Renuka Sharma,Jaya Prada,7
Anasuyamma Gari Alludu,1986,A. Kodandarami Reddy,Nandamuri Balakrishna,7
Amma Rajinama,1998,Kodi Ramakrishna,Krishna,7
Roop Ki Rani Choron Ka Raja,1993,Satish Kaushik,Anil Kapoor,7
Brahmarshi Viswamitra,1991,N.T. Rama Rao,N. T. Rama Rao,7
Nigahen: Nagina Part II,1989,Harmesh Malhotra,Sunny Deol,7
Family Circus,2001,Teja,Jagapathi Babu,7
Ponton's Heart,2025,Senad Šahmanović,Marija Labudović,7
Zakhmi Zameen,1990,Mahendra Shah,Jaya Prada,7
Q12985478,1979,K. Vasu,Chiranjeevi,7
Chilakapacha Kapuram,1995,Kodi Ramakrishna,Jagapathi Babu,7
Swayamvaram,1982,Dasari Narayana Rao,Sobhan Babu,7
Aami Sei Meye,1998,Prosenjit Chatterjee,Prosenjit,7
Yugapurushudu,1978,K. Bapaiah,N. T. Rama Rao,7
Karaikkal Ammaiyar,1982,A.P. Nagarajan,K.B. Sundarambal,7
Drohi,1948,L.V. Prasad,Chittoor V. Nagaiah,7
Manchi Mithrulu,1969,Tatineni Rama Rao,Sobhan Babu; Krishna,7
Friends,2002,Suresh Krissna,Jagapathi Babu,6.9
Bhuvana Sundari Katha,1967,C. Pullaiah,N. T. Rama Rao,6.9
Chandi: The Power of Woman,2013,V.Samudra,Priyamani,6.9
Naku Pellam Kavali,1987,Vijaya Bapineedu,Rajendra Prasad,6.8
Vaddu Bava Tappu,1995,K. Ajay Kumar,Rajendra Prasad,6.8
Captain Nagarjuna,1986,V. B. Rajendra Prasad,Akkineni Nagarjuna,6.8
Kattula Kondaiah,1985,S. B. Chakravarthy,Nandamuri Balakrishna,6.8
Desoddarakudu,1986,S. S. Ravichandra,Balakrishna,6.8
Khal-Naaikaa,1993,Saawan Kumar Tak,Jaya Prada,6.8
Mawaali,1983,K. Bapayya,Sridevi,6.8
Sarfarosh,1985,Dasari Narayana Rao,Sobhan Babu,6.8
Yuvathurki,1996,Bhadran,Vijayashanti,6.8
Pekata Paparao,1993,Y Nageswara Rao,Rajendra Prasad,6.8
Huliya Haalina Mevu,1982,Vijay Reddy,Kannada,6.8
Mera Faisla,1984,S. V. Rajendra Singh Babu,Sanjay Dutt,6.8
Kanoon Ki Zanjeer,1990,P. Lakshman,Raj Babbar,6.8
9 Nelalu,2001,Kranthi Kumar,Vikram,6.8
Mahaguru,1985,S. S. Ravichandra,Rajinikanth,6.8
Maqsad,1984,K. Bapayya,Rajesh Khanna,6.8
Seetarama Kalyanam,1986,Jandhyala,Nandamuri Balakrishna,6.8
Mondi Mogudu Penki Pellam,1991,Siva Nageshwara Rao,Suman,6.8
Takkar,1980,K. Bapayya,Sanjeev Kumar,6.8
Uma Chandi Gowri Shankarula Katha,1968,K.V. Reddy,N. T. Rama Rao,6.8
Ganga Tere Desh Mein,1988,Vijay Reddy,Jaya Prada,6.8
Farishtay,1991,Anil Sharma,Dharmendra,6.8
Awaaz,1984,Shakti Samanta,Rajesh Khanna,6.8
Dweepa,2002,Girish Kasaravalli,Avinash,6.7
Manasellam,2003,Santosh,Srikanth,6.7
Sultan,1999,Claude Ventura,Nandamuri Balakrishna,6.7
Tathastu,2006,Anubhav Sinha,Jaya Prada,6.7
Rasaleela,2012,Majeed Maranchery,Darshan,6.7
Deha,2007,Mahesh Manjrekar,Mahesh Manjrekar,6.7
Kinar,2018,Mummy Century,Jaya Prada,6.7
Family - A Made at Home Short Film,2020,Prasoon Pandey,Amitabh Bachchan,6.7
Krantiveera Sangolli Rayanna,2012,Naganna,Darshan Thoogudeepa Srinivas,6.7
Evadi Gola Vadide,2005,E. V. V. Satyanarayana,Brahmanandam,6.7
Yatra,2019,Samrat Shakya,Salon Basnet,6.7
Swayamvaram,1999,K. Vijaya Bhaskar,Venu Thottempudi,6.7
Madatha Kaaja,2011,Seetaramaraju Dantuluri,Allari Naresh,6.7
The Desire,2010,József Pacskovszky,Zsolt László,6.7
Mahasadhvi Mallamma,2005,Renuka Sharma,Rajendra Prasad,6.7
Amala,2023,Safeer Thailan,Srikanth,6.7
Sesh Sanghat,2009,Ashoke Viswanathan,Ashish Vidyarthi,6.7
Adhinetha,2009,V. Samudra,Jagapathi Babu,6.7
Charminar,2003,G. Nageswara Reddy,Venkat,6.7
Bailampudi,2019,Anil PG Raj,Harish Vinay,6.6
Vandemataram,1985,T. Krishna,Rajasekhar,6.5
Abbaigaru Ammaigaru,1972,V. Ramachandra Rao,Krishna,6.5
Bale Mosagadu,1972,P. Sambasiva Rao,Krishna,6.5
Karpoora Harathi,1969,V. Madhusudan Rao,Sobhan Babu,6.5
Sree,2005,Mitr Chaibancha,Mitr Chaibancha,6.5
Lahiri Lahiri Lahirilo,2002,Y.V.S. Chowdary,Nandamuri Harikrishna,6.5
Priyamaina Neeku,2001,Balasekaran,Tarun,6.5
Mercury Pookkal,2006,S. S. Stanley,Srikanth,6.5
Uddhandudu,1984,P. Sambasiva Rao,Krishna,6.5
Marapurani Katha,1967,V. Madhusudhana Rao,Krishna,6.5
Modern Masters: SS Rajamouli,2024,Raghav Khanna,S. S. Rajamouli,6.5
Devude Gelichadu,1976,Vijaya Nirmala,Krishna,6.5
Daughters' Destiny,2007,May Gauffin,Savitri,6.5
Master Kiladi,1971,M. Mallikarjuna Rao,Krishna,6.5
Pelli Kani Prasad,2003,Satyam Babu,Sivaji,6.5
Muddayi,1987,K.S.R. Das,Krishna,6.5
Kathi Kanta Rao,2010,E. V. V. Satyanarayana,Allari Naresh,6.5
Manavoori Katha,1976,K. Hemambadhara Rao,Murali Mohan,6.5
A: Ad Infinitum,2021,Ugandhar Muni,Nitin Prasanna,6.5
Pelli Koothuru,1970,V. Ramachandra Rao,Chandra Mohan,6.5
Naa Manasista Raa,2001,R.R. Shinde,Srikanth,6.5
Rendu Kutumbala Katha,1970,P. Sambasiva Rao,Krishna,6.5
Ramarajyamlo Rakthapasam,1976,P. Sambasiva Rao,Krishna,6.5
Chalaki Mogudu Chavali Pellam,1989,Relangi Narasimha Rao,Rajendra Prasad,6.5
Rakthasambandhalu,1975,M. Mallikarjuna Rao,Krishna,6.5
Panchaithi,1977,Vijaya Nirmala,Narasimha Raju,6.5
Samajaniki Savaal,1979,S. P. Rajaram,Krishna,6.5
Antham Kaadidi Aarambham,1981,Vijaya Nirmala,Krishna,6.5
Teneteega,1991,M. Nanda Kumar,Rajendra Prasad,6.5
Sneha Bandham,1973,K. Babu Rao,Krishnam Raju,6.5
Mayadari Malligadu,1973,Adurthi Subba Rao,Krishna,6.5
Indira Vizha,2009,K. Rajeshwar,Srikanth,6.5
Jathagadu,1981,S.D. Lal,Krishna,6.5
Antha Mana Manichike,1972,Bhanumathi Ramakrishna,Krishna,6.5
Astulu Anthastulu,1969,V. Ramachandra Rao,Krishna,6.5
Dollar Dreams,2000,Sekhar Kammula,Santosh Kumar,6.5
Andarki Monagadu,1970,M. Mallikarjuna Rao,Krishna,6.5
Maa Oori Monagallu,1972,P. Sambasiva Rao,Krishna,6.5
Jarigina Katha,1969,K. Babu Rao,Krishna,6.5
Nijam Nirupista,1972,S. D. Lal,Krishna,6.5
Kodalupilla,1972,M. Mallikarjuna Rao,Krishna,6.5
Prema Nakshathram,1982,P. Sambasiva Rao,Krishna,6.5
Maa Inti Devatha,1980,B. Padmanabham,Krishna,6.5
Marapurani Talli,1972,K. S. Prakash Rao,Krishna,6.5
Muthaiduva,1979,P. C. Reddy,Murali Mohan,6.5
Rahasya Gudachari,1981,K.S.R. Das,Krishna,6.5
Chaaya,1979,Satyendra Kumar,Satyendra Kumar,6.5
Payanam,2011,Radha Mohan,Akkineni Nagarjuna,6.5
Nammaka Drohulu,1971,K. S. R. Das,Krishna,6.5
Parasuramudu,1986,G. Ram Mohana Rao,Krishna,6.5
Man Of The Match,2013,P. A. Arun Prasad,Sagar,6.5
Nindu Kutumbam,1973,P. Sambasiva Rao,N. T. Rama Rao,6.5
Ee Charitra Ae Sirato,1982,Vejalla Satyanarayana,Shiva Krishna,6.5
Peddalu Marali,1974,P. Chandrasekhara Reddy,Krishna,6.5
Prananiki Pranam,1990,Chalamme,Nandamuri Balakrishna,6.5
Ruslaan,2024,Karan Lalit Butani,Jagapathi Babu,6.5
Bandodu Gundamma,1980,S. D. Lal,Krishna,6.5
