title_en,release_year,director,hero,rating
Krishnaveni,1974,V. Madhusudhana Rao,Krishnam Raju,7.5
Pichi Pantuulu,1983,Jandhyala,Chandra Mohan,7.5
Deva Sundari,1963,H.M. Reddy,Kanta Rao,7.5
Adambaralu Anubandhalu,1974,K. Vasu,Krishna,7.5
Cancer-Sukhavyadhulu,1982,M. Prabhakar Reddy,M. Prabhakar Reddy,7.5
Tholi Kodi Koosindi,1980,K. Balachander,Sarath Babu,7.5
Bharya Biddalu,1972,Tatineni Rama Rao,Akkineni Nageswara Rao,7.5
Sri Tirupatamma Katha,1964,B.S. Narayana,N. T. Rama Rao,7.5
Manase Mandiram,1966,C.V. Sridhar,Akkineni Nageswara Rao,7.5
Natakala Rayudu,1969,K. Sanjeevi,Nagabhushanam,7.5
Magallako Namaskaram,1983,Bhavaniprasad,Chandra Mohan,7.5
Manushulu Marali,1969,V. Madhusudhan Rao,Sobhan Babu,7.5
Muthyala Pallaki,1976,Dasari Narayana Rao,Narasinga Rao,7.5
Kattula Kondayya,1985,K. Vasu,Rajendra Prasad,7.5
Yagnam,1992,Gopal B,Unknown,7.5
Murali Krishna,1964,Adurthi Subba Rao,Krishna,7.5
Chinninati Kalalu,1975,K. Vasu,Krishnam Raju,7.5
Muthyamantha Muddu,1989,Ravi Raja Pinisetty,Rajendra Prasad,7.5
Dharmangadha,1949,P. Pullaiah,N. T. Rama Rao,7.5
Paila Pacheesu,1989,Kodi Ramakrishna,Rajendra Prasad,7.5
Balipeetam,1975,Dasari Narayana Rao,Sobhan Babu,7.5
Brahma Rudrulu,1986,K. Vasu,Krishna,7.5
Manjari,1953,P. Pullaiah,N. T. Rama Rao,7.5
Vivaha Bandham,1964,P.S. Ramakrishna Rao,N. T. Rama Rao,7.5
Visala Hrudayalu,1965,T. Rama Rao,N. T. Rama Rao,7.5
Mahatmudu,1976,M. S. Gopinath,Akkineni Nageswara Rao,7.5
Balaraju,1948,Ghantasala Balaramaiah,Akkineni Nageswara Rao,7.5
Adavalle Aligithe,1983,Vejella Satyanarayana,Gummadi Venkateswara Rao,7.5
Gunavanthudu,1975,K. Vasu,N. T. Rama Rao,7.5
Memu Manushulame,1973,K. Babu Rao,Krishnam Raju,7.5
Aadhani Adrustam,1975,G. V. R. Seshagiri Rao,Chalam,7.5
Raju Vedale,1976,Tatineni Rama Rao,N. T. Rama Rao,7.5
Srivari Muchatlu,1981,Kvasula Ramesh,Akkineni Nageswara Rao,7.5
Sarangadhara,1957,V.S. Raghavan,N. T. Rama Rao,7.5
Kanna Koduku,1973,V. Madhusudhana Rao,Akkineni Nageswara Rao,7.5
Moguda? Pellama?,1975,K. Vasu,Krishnam Raju,7.5
Kalahasti Mahatyam,1954,H.L.N. Simha,Rajkumar,7.5
Sati Arundhati,1968,K.V. Nandan Rao,Kanta Rao,7.5
Pratignapalana,1965,C.S. Rao,Kanta Rao,7.5
Triveni Sangamam,1983,Kommineni,Murali Mohan,7.5
K. Balachander,1984,K. Balachander,Rajinikanth,7.5
Iddaru Monagallu,1967,B. Vittalacharya,N. T. Rama Rao,7.5
