slug,title_en,year,hero,director,title_te
dagudumuthala-dampathyam-1990,"Dagudumuthala Dampathyam",1990,"Akkineni Nageswara Rao","Relangi Narasimha Rao",
doshi-nirdoshi-1990,"Doshi Nirdoshi",1990,"Sobhan Babu","Y Nageswara Rao",
girija-kalyanam-1990,"Girija Kalyanam",1990,"Rajuman","K. S. R. Das",
guru-sishyulu-1990,"Guru Sishyulu",1990,"Krishnam Raju","S.P. Muthuraman",
iddaru-pellala-muddula-police-1991,"Iddaru Pellala Muddula Police",1990,"Rajendra Prasad","Relangi Narasimha Rao",
idem-pellam-baboi-1990,"Idem Pellam Baboi",1990,"Rajendra Prasad","Ravi Teja",
inspector-rudra-1990,"Inspector Rudra",1990,"Krishna","Mohana Gandhi",
jayammu-nischayammu-raa-1989,"Jayammu Nischayammu Raa",1990,"Rajendra Prasad","Jandhyala",
justice-rudramadevi-1990,"Justice Rudramadevi",1990,"Jaya Prada","Kurra Ranga Rao",
kadapa-redamma-1990,"Kadapa Redamma",1990,"Rajasekhar","A. Kodandarami Reddy",
kanoon-ki-zanjeer-1990,"Kanoon Ki Zanjeer",1990,"Raj Babbar","P. Lakshman",
kartavyam-1990,"Kartavyam",1990,"Vijayashanti","Mohan Gandhi",
kodama-simham-1990,"Kodama Simham",1990,"Chiranjeevi","K. Murali Mohana Rao",
kokila-1990,"Kokila",1990,"Nagendra Babu","Geetha Krishna",
kokilam-1990,"Kokilam",1990,"Shobana","Geetha Krishna",
lakshmi-durga-1990,"Lakshmi Durga",1990,"Naresh","Raghuram",
magaadu-1990,"Magaadu",1990,"Dr. Rajasekhar","K. Raghavendra Rao",
mahajananiki-maradalu-pilla-1990,"Mahajananiki Maradalu Pilla",1990,"Rajendra Prasad","Vallabhaneni Jhanardan",
majboor-1990,"Majboor",1990,"Jeetendra","Rama Rao Tatineni",
mama-alludu-1990,"Mama Alludu",1990,"Rajendra Prasad","Relangi Narasimha Rao",
manasu-mamata-1990,"Manasu Mamata",1990,"Naresh","Mouli",
master-kapuram-1990,"Master Kapuram",1990,"Rajendra Prasad","K. Vasu",
matti-manushulu-1990,"Matti Manushulu",1990,"Sivakumar","A. Kodandarami Reddy",
mrugathrushna-1990,"Mrugathrushna",1990,"Murali Mohan","P. Sambasiva Rao",
muddula-menalludu-1990,"Muddula Menalludu",1990,"Nandamuri Balakrishna","Kodi Ramakrishna",
nagastharam-1990,"Nagastharam",1990,"Krishna","Krishna",
nagastram-1990,"Nagastram",1990,"Krishna","Krishna",
nari-nari-naduma-murari-1990,"Nari Nari Naduma Murari",1990,"Nandamuri Balakrishna","A. Kodandarami Reddy",
navayugam-1990,"Navayugam",1990,"Rajendra Prasad","K. S. Sethumadhavan",
neti-siddhartha-1990,"Neti Siddhartha",1990,"Akkineni Nagarjuna","Kranthi Kumar",
pathar-ke-insan-1990,"Pathar Ke Insan",1990,"Vinod Khanna","Shomu Mukherjee",
prajala-manishi-1990,"Prajala Manishi",1990,"Krishna","M. Rosi Raju",
prananiki-pranam-1990,"Prananiki Pranam",1990,"Nandamuri Balakrishna","Chalamme",
prema-khaidi-1990,"Prema Khaidi",1990,"Harish Kumar","E. V. V. Satyanarayana",
prema-yuddham-1990,"Prema Yuddham",1990,"Amala Akkineni","S V Rajendra Singh Babu",
prema-zindabad-1990,"Prema Zindabad",1990,"Rajendra Prasad","P. N. Ramachandra Rao",
raja-vikramarka-1990,"Raja Vikramarka",1990,"Chiranjeevi","Ravi Raja Pinisetty",
rajasekhar-1990,"Rajasekhar",1990,"Rajasekhar","K. S. Prakash Rao",
rambha-rambabu-1990,"Rambha Rambabu",1990,"Rajendra Prasad","Kodi Ramakrishna",
rao-gari-intlo-rowdy-1990,"Rao Gari Intlo Rowdy",1990,"Akkineni Nageswara Rao","Kodi Ramakrishna",
samrajyam-1990,"Samrajyam",1990,"Mammootty","Jomon",
udhyamam-1990,"Udhyamam",1990,"Bhanu Chander","K. Ranga Rao",
vishnu-1990,"Vishnu",1990,"Krishna","V. B. Rajendra Prasad",
yamadharma-raju-1990,"Yamadharma Raju",1990,"Krishnam Raju","Sharath",
yauvana-poratham-1990,"Yauvana Poratham",1990,"Abbas","Fazil",
zakhmi-zameen-1990,"Zakhmi Zameen",1990,"Jaya Prada","Mahendra Shah",
adavilo-abhimanyudu-1989,"Adavilo Abhimanyudu",1989,"Jagapathi Babu","A. Kodandarami Reddy",
