Actor,Movie,Correct Role,Status,Message
"rajendra prasad","Vichitra Prema","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Bramhachari Mogudu","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Vaddu Bava Tappu","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Mummy Mee Aayanochadu","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Kshemanga Velli Labhamga Randi","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Ammo Bomma","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Sandade Sandadi","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Sriramachandrulu","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Oka Pellam Muddu Rendo Pellam Vaddu","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Andagadu","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Iddaru Attala Muddula Alludu","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Mee Sreyobhilashi","hero","fixed","Moved from supporting_cast to hero"
"rajendra prasad","Bhale Mogudu Bhale Pellam","hero","fixed","Moved from supporting_cast to hero"
"rambha","Aa Okkati Adakku","heroine","not_found","Actor not found in supporting_cast or hero/heroine"
"rambha","Bhairava Dweepam","heroine","fixed","Moved from supporting_cast to heroine"
"rambha","Alluda Majaka","heroine","fixed","Moved from supporting_cast to heroine"
"rambha","Bombay Priyudu","heroine","fixed","Moved from supporting_cast to heroine"
"rambha","Hitler","heroine","fixed","Moved from supporting_cast to heroine"
"rambha","Kodanda Ramudu","heroine","fixed","Moved from supporting_cast to heroine"
"rambha","Mrugaraju","cameo","fixed","Moved from supporting_cast to cameo"
"rambha","Sriramachandrulu","heroine","fixed","Moved from supporting_cast to heroine"
"rambha","Neeku Naaku","heroine","fixed","Moved from supporting_cast to heroine"
"rambha","Desamuduru","cameo","fixed","Moved from supporting_cast to cameo"
"rambha","Quick Gun Murugun","heroine","fixed","Moved from supporting_cast to heroine"
"ravi teja","Sindhooram","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Chiranjeevulu","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Avunu Valliddaru Ista Paddaru!","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Ee Abbai Chala Manchodu","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Venky","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Bhadra","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"ravi teja","Shock","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Dubai Seenu","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Krishna","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"ravi teja","Kick","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Mirapakay","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Nippu","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Balupu","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Power","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Kick 2","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Raja the Great","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Touch Chesi Chudu","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Disco Raja","hero","fixed","Moved from supporting_cast to hero"
"ravi teja","Doosukeltha","cameo","fixed","Moved from supporting_cast to cameo"
"rohit","6 Teens","hero","fixed","Moved from supporting_cast to hero"
"rohit","Anaganaga O Kurraadu","hero","fixed","Moved from supporting_cast to hero"
"rohit","Keelu Gurram","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"sarath babu","Guppedu Manasu","hero","fixed","Moved from supporting_cast to hero"
"satyanarayana","Tayaramma Bangarayya","hero","fixed","Moved from supporting_cast to hero"
"satyanarayana","Saripodhaa Sanivaaram","cameo","fixed","Moved from supporting_cast to cameo"
"sharada","Sambarala Rambabu","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Chelleli Kapuram","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Kalam Marindi","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Devudu Chesina Manushulu","heroine","not_found","Actor not found in supporting_cast or hero/heroine"
"sharada","Balipeetam","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Daana Veera Soora Karna","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Gorintaku","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Sardar Papa Rayudu","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Bobbili Brahmanna","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Anasuyamma Gari Alludu","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Sardar Krishnama Naidu","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Bhale Donga","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Kadapa Redamma","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Major Chandrakanth","heroine","fixed","Moved from supporting_cast to heroine"
"sharada","Bobbili Simham","heroine","fixed","Moved from supporting_cast to heroine"
"simran","Samarasimha Reddy","heroine","fixed","Moved from supporting_cast to heroine"
"simran","Annayya","heroine","fixed","Moved from supporting_cast to heroine"
"simran","Seema Simham","heroine","fixed","Moved from supporting_cast to heroine"
"simran","Jai","cameo","not_found","Actor not found in supporting_cast or hero/heroine"
"simran","Petta","heroine","not_found","Actor not found in supporting_cast or hero/heroine"
"simran","Mahaan","heroine","fixed","Moved from supporting_cast to heroine"
"simran","Aranmanai 4","cameo","fixed","Moved from supporting_cast to cameo"
"sivaji","Andaru Dongale Dorikithe","hero","fixed","Moved from supporting_cast to hero"
"sobhan babu","Daiva Balam","hero","fixed","Moved from supporting_cast to hero"
"sridevi","Badi Panthulu","child_artist","fixed","Moved from supporting_cast to child_artist"
"sridevi","Bhakta Tukaram","child_artist","fixed","Moved from supporting_cast to child_artist"
"sridevi","Yashoda Krishna","child_artist","fixed","Moved from supporting_cast to child_artist"
"sridevi","Padaharella Vayasu","heroine","fixed","Moved from supporting_cast to heroine"
"sridevi","Puli Bidda","heroine","fixed","Moved from supporting_cast to heroine"
"sridevi","Adavi Simhalu","heroine","fixed","Moved from supporting_cast to heroine"
"sridevi","Oka Radha Iddaru Krishnulu","heroine","fixed","Moved from supporting_cast to heroine"
"sridevi","Makutamleni Maharaju","heroine","fixed","Moved from supporting_cast to heroine"
"sridevi","Jagadeka Veerudu Athiloka Sundari","heroine","fixed","Moved from supporting_cast to heroine"
"sridevi","Kshana Kshanam","heroine","fixed","Moved from supporting_cast to heroine"
"sridevi","Moondru Mudichu","heroine","fixed","Moved from supporting_cast to heroine"
"sridevi","Gaayathri","heroine","fixed","Moved from supporting_cast to heroine"
"sridevi","Bala Nagamma","heroine","not_found","Actor not found in supporting_cast or hero/heroine"
"sridevi","Pokkiri Raja","heroine","not_found","Movie not found in database"
"sridevi","Naan Adimai Illai","heroine","fixed","Moved from supporting_cast to heroine"
"sridevi","Kumara Sambhavam","child_artist","fixed","Moved from supporting_cast to child_artist"
"sridevi","Swapnangal","child_artist","fixed","Moved from supporting_cast to child_artist"
"sridevi","Poompatta","child_artist","fixed","Moved from supporting_cast to child_artist"
"sridevi","Aasheervaadam","child_artist","fixed","Moved from supporting_cast to child_artist"
"sridevi","Devaraagam","heroine","fixed","Moved from supporting_cast to heroine"
"sumanth","Prema Katha","hero","fixed","Moved from supporting_cast to hero"
"sumanth","Yuvakudu","hero","fixed","Moved from supporting_cast to hero"
"sumanth","Ramma Chilakamma","hero","fixed","Moved from supporting_cast to hero"
"sumanth","Satyam","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"sumanth","Gowri","hero","fixed","Moved from supporting_cast to hero"
"sumanth","Godavari","hero","fixed","Moved from supporting_cast to hero"
"sumanth","Classmates","hero","fixed","Moved from supporting_cast to hero"
"sumanth","Golconda High School","hero","fixed","Moved from supporting_cast to hero"
"sumanth","Emo Gurram Egaravachu","hero","fixed","Moved from supporting_cast to hero"
"sumanth","Naruda Donoruda","hero","fixed","Moved from supporting_cast to hero"
"sumanth","Subramanyapuram","hero","fixed","Moved from supporting_cast to hero"
"sunil","Poola Rangadu","hero","fixed","Moved from supporting_cast to hero"
"sunil","Mr.PelliKoduku","hero","fixed","Moved from supporting_cast to hero"
"sunil","Bhimavaram Bullodu","hero","fixed","Moved from supporting_cast to hero"
"sunil","Krishnashtami","hero","fixed","Moved from supporting_cast to hero"
"sunil","Ungarala Rambabu","hero","fixed","Moved from supporting_cast to hero"
"sunil","Silly Fellows","hero","fixed","Moved from supporting_cast to hero"
"sunil","Changure Bangaru Raja","voice","fixed","Moved from supporting_cast to voice"
"tarun","Thalapathi","child_artist","not_found","Movie not found in database"
"tarun","Vajram","child_artist","fixed","Moved from supporting_cast to child_artist"
"tarun","Nuvve Kavali","hero","fixed","Moved from supporting_cast to hero"
"tarun","Priyamaina Neeku","hero","fixed","Moved from supporting_cast to hero"
"tarun","Nuvvu Leka Nenu Lenu","hero","fixed","Moved from supporting_cast to hero"
"tarun","Ninne Ishtapaddanu","hero","fixed","Moved from supporting_cast to hero"
"tarun","Sakhiya","hero","fixed","Moved from supporting_cast to hero"
"tarun","Soggadu","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"tarun","Nava Vasantham","hero","fixed","Moved from supporting_cast to hero"
"tarun","Bhale Dongalu","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"tarun","Sasirekha Parinayam","hero","fixed","Moved from supporting_cast to hero"
"tarun","Chukkalanti Ammayi Chakkanaina Abbayi","hero","fixed","Moved from supporting_cast to hero"
"tarun","Yuddham","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"tarun","Idi Naa Love Story","hero","fixed","Moved from supporting_cast to hero"
"varun sandesh","Happy Days","hero","fixed","Moved from supporting_cast to hero"
"varun sandesh","Kotha Bangaru Lokam","hero","fixed","Moved from supporting_cast to hero"
"varun sandesh","Evaraina Epudaina","hero","fixed","Moved from supporting_cast to hero"
"varun sandesh","Maro Charitra","hero","fixed","Moved from supporting_cast to hero"
"varun sandesh","Kudirithe Kappu Coffee","hero","fixed","Moved from supporting_cast to hero"
"varun sandesh","Chammak Challo","hero","fixed","Moved from supporting_cast to hero"
"varun sandesh","Nuvvala Nenila","hero","fixed","Moved from supporting_cast to hero"
"varun sandesh","Nindha","hero","fixed","Moved from supporting_cast to hero"
"venu","Swayamvaram","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"venu","Manasu Paddanu Kaani","hero","fixed","Moved from supporting_cast to hero"
"venu","Hanuman Junction","hero","fixed","Moved from supporting_cast to hero"
"venu","Priya Nestama","hero","fixed","Moved from supporting_cast to hero"
"venu","Kushi Kushiga","hero","fixed","Moved from supporting_cast to hero"
"venu","Sada Mee Sevalo","hero","fixed","Moved from supporting_cast to hero"
"venu","Gopi Gopika Godavari","hero","fixed","Moved from supporting_cast to hero"
"vishnu","Vishnu","hero","fixed","Moved from supporting_cast to hero"
