id,slug,title_en,release_year,field,db_value,consensus_value,confidence,sources_agree,sources_disagree,anomaly_type,auto_fixable
89f7128d-d86e-4396-a9e9-c95e9cee716f,"sanchalanam-2011","Sanchalanam",2011,heroine,"Zabyn Khan","Embeth Davidtz",0.71,"tmdb","",WRONG,false
89f7128d-d86e-4396-a9e9-c95e9cee716f,"sanchalanam-2011","Sanchalanam",2011,director,"Kranthi Kumar","Eric Mendelsohn",0.71,"tmdb","",WRONG,false
89f7128d-d86e-4396-a9e9-c95e9cee716f,"sanchalanam-2011","Sanchalanam",2011,cinematographer,"","Kasper Tuxen",0.64,"tmdb","",MISSING,false
89f7128d-d86e-4396-a9e9-c95e9cee716f,"sanchalanam-2011","Sanchalanam",2011,editor,"","Eric Mendelsohn",0.64,"tmdb","",MISSING,false
89f7128d-d86e-4396-a9e9-c95e9cee716f,"sanchalanam-2011","Sanchalanam",2011,writer,"","Eric Mendelsohn",0.64,"tmdb","",MISSING,false
072f4698-7762-469a-bf69-a62c7bce0d6a,"sreeram-2002","Sreeram",2002,editor,"","Marthand K Venkatesh",0.64,"tmdb","",MISSING,false
072f4698-7762-469a-bf69-a62c7bce0d6a,"sreeram-2002","Sreeram",2002,writer,"","Dharani",0.64,"tmdb","",MISSING,false
d75c4f63-8542-4216-8028-b19a8fd48b48,"auto-driver-1998","Auto Driver",1998,director,"Longjam Meena Devi","",0.40,"","tmdb,wikidata",CONFLICT,false
3b1c9dba-77b2-4239-aa33-c6c0d267d4f6,"poster-2021","Poster",2021,hero,"Shivaji Raja","",0.40,"","tmdb,letterboxd",CONFLICT,false
3b1c9dba-77b2-4239-aa33-c6c0d267d4f6,"poster-2021","Poster",2021,heroine,"Raashi Singh","",0.40,"","tmdb,letterboxd",CONFLICT,false
3b1c9dba-77b2-4239-aa33-c6c0d267d4f6,"poster-2021","Poster",2021,director,"TMR","",0.40,"","tmdb,cinejosh",CONFLICT,false
9a78ec2d-737e-4275-8101-af80545874fa,"adavi-simhalu-1983","Adavi Simhalu",1983,heroine,"No Female Lead","",0.40,"","tmdb,letterboxd",CONFLICT,false
9a78ec2d-737e-4275-8101-af80545874fa,"adavi-simhalu-1983","Adavi Simhalu",1983,cinematographer,"","K. S. Prakash Rao",0.64,"tmdb","",MISSING,false
9a78ec2d-737e-4275-8101-af80545874fa,"adavi-simhalu-1983","Adavi Simhalu",1983,editor,"","Kotagiri Venkateswara Rao",0.64,"tmdb","",MISSING,false
9a78ec2d-737e-4275-8101-af80545874fa,"adavi-simhalu-1983","Adavi Simhalu",1983,writer,"","Satyanand Pydipalli",0.64,"tmdb","",MISSING,false
69140673-da4f-43dd-ba0e-f1affc24b0f0,"manchivadu-2011","Manchivadu",2011,hero,"Tanish","Ajith Kumar",0.71,"tmdb","",WRONG,false
