"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"latha","Veettukku Vandha Marumagal","1973","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Netru Indru Naalai","1974","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Sirithu Vazha Vendum","1974","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Urimai Kural","1974","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Sivakamiyin Selvan","1974","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Pallandu Vazhga","1975","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Naalai Namadhe","1975","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Ninaithadhai Mudippavan","1975","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Niramaala","1975","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Needhikku Thalaivanangu","1976","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Uzhaikkum Karangal","1976","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Meenava Nanban","1977","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Navarathinam","1977","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Devadasi","1978","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Madhuraiyai Meetta Sundharapandiyan","1978","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Shankar Salim Simon","1978","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Vayasu Ponnu","1978","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Ahalya","1978","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"latha","Varuvan Vadivelan","1978","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
