ID,Slug,Title,Year,Director,Hero,Heroine,Music_Director
dba404be-c1e3-47b1-af59-a44286183907,the-rite-a-passion-2002,"Thilaadanam",2002,"K.N.T. Sastry","Jaya Sheela","Brahmaji",
96331011-4406-4a10-83b4-e6f7b4311ddd,vachina-vaadu-suryudu-2002,"Vachina Vaadu Suryudu",2002,"Krisha, Lakshmana Swamy, Vijayachander, Rahul, Lahari","Srikanth","Raasi",
917ac86e-d559-486e-a57c-d89aedc43c4d,atu-america-itu-india-2001,"Atu America Itu India",2001,"Gummaluri Shastry","Sunny","Vanessa",
4371c5af-d7f9-4c71-8eaa-0ccbc3401fb6,b-gopal-2001,"B. Gopal",2001,"B Gopal","Srikanth","Raasi",
2668a836-ad4a-49fc-8109-3b6cec7bbce1,bhadrachalam-2001,"Bhadrachalam",2001,"N. Shankar","Srihari","Sindhu Menon",
f6da2394-2e98-42d6-8d91-0af229a389ed,chiranjeevulu-2001,"Chiranjeevulu",2001,"Radha Krishna","Ravi Teja","Sanghavi",
2ee478bd-e8e2-4cb5-82de-436c34740d2f,chirujallu-2001,"Chirujallu",2001,"Ashok Rao","Venu","Prema",
1b48bf39-b6ca-498a-b8e6-3821a6b38db8,family-circus-2001,"Family Circus",2001,"Teja","Jagapathi Babu","Roja",
ac435c8a-db1f-4028-9b52-3ba911ac4b1b,jabili-2001,"Jabili",2001,"N. Sankaranarayanan","Srikanth","Raasi",
a44bc34f-c414-4a71-838d-ac883a843ff2,muthyam-2001,"Muthyam",2001,"Jeevitha","Srikanth","Rachana",
938510b6-8193-4793-9f47-dd19e1821c84,naa-manasista-raa-2001,"Naa Manasista Raa",2001,"R.R. Shinde","Srikanth","Soundarya",
37bc7f50-5b29-45d2-bc7a-f5d2f9fc08a5,naa-manasistha-raa-2001,"Naa Manasistha Raa",2001,"R.R. Shinde","Srikanth","Richa Pallod",
cedcba47-76d2-479c-9e6d-ddb08629e380,priyamaina-neeku-2001,"Priyamaina Neeku",2001,"Balasekaran","Tarun","Sneha",
272eefa0-0bb3-450d-ba61-86a91844e7c1,repallelo-radha-2001,"Repallelo Radha",2001,"Saritha","Brahmanandam","Dileep",
863ad6f1-6b43-4e86-bd23-84999161ef4b,time-pass-2001,"Time Pass",2001,"V. Anand","Ajay","Radhika",
1aee18d1-eac0-4f2a-9a09-1e7f21931d99,wife-2001,"Wife",2001,"Ravipalli Rambabu","Sivaji","Laya",
8ebbc13b-e4f6-4764-83de-7d13bcf0fb12,college-2000,"College",2000,"Ravi Chavali","Sivaji","Manya",
83465554-8e4d-448b-bde3-fd9641247b3f,jayam-manade-raa-2000,"Jayam Manade Raa",2000,"N. Shankar","Venkatesh","Soundarya",
09544cb2-8350-40b5-9ffb-51036acf3256,kauravudu-2000,"Kauravudu",2000,"Jyothi Kumar","B. C. Patil","Prema",
d887cb47-0f82-47dc-82bd-d17d8b2d40c6,manasichanu-2000,"Manasichanu",2000,"Pramod Kumar","Ravi Teja","Manya",
41562c7a-f4fe-4e12-937d-6a309c72f9fe,manasu-paddanu-kaani-2000,"Manasu Paddanu Kaani",2000,"Veeru K.","Venu","Raasi",
0e6adef2-434f-4df5-b9b4-3dce0a3c0576,moodu-mukkalaata-2000,"Moodu Mukkalaata",2000,"Koda Ramakrishna","Jagapathi Babu","Raasi",
e38a8969-9ecf-4ff1-b973-58c14b85fef1,nagadevathe-2000,"Nagadevathe",2000,"Om Saiprakash","Prema","Prema",
f40ddc1a-40fb-4c87-a5c1-e08dee08c9e6,sammakka-sarakka-2000,"Sammakka Sarakka",2000,"Dasari Narayana Rao","Suman","Ramya Krishnan",
76f52f3c-50c5-4d4a-9d25-c6dbe151aeca,yee-taram-nehru-2000,"Yee Taram Nehru",2000,"Shiva","Krishna","Prema",
4746a33d-761c-44d0-ac04-f4c29dec35fa,dollar-dreams-1999,"Dollar Dreams",1999,"Sekhar Kammula","Satish","Anish Kuruvilla",
c798227a-0d74-4763-8336-8b9ac1ff8655,harischandraa-1999,"Harischandraa",1999,"Thulasi Kumar","Brahmanandam","Raasi",
529969fc-16aa-4cb6-9a6b-761780b06b40,kohram-1999,"Kohram",1999,"Mehul Kumar","Amitabh Bachchan","Tabu",
c4f56063-850e-4ac7-bf41-a802cb3e0023,loh-purush-1999,"Loh Purush",1999,"Hersh Kinnar","Dharmendra","Monica Bedi",
