Slug,Title (English),Release Year,Hero,Director,Status
sabari-2024,"Sabari",2024,"Ganesh Venkatraman","Anil Katz",Published
geethanjali-malli-vachindi-2024,"Geethanjali Malli Vachindi",2024,"Srinivasa Reddy","Shiva Turlapati",Published
prasannavadanam-2024,"Prasannavadanam",2024,"Suhas","Sukumar Bandreddi",Published
razakar-the-silent-genocide-of-hyderabad-2024,"Razakar: The Silent Genocide of Hyderabad",2024,"Arav Chowdhary","Yaata Satyanarayana",Published
bhamakalapam-2-2024,"Bhamakalapam 2",2024,"Priyamani","Abhimanyu Tadimeti",Published
kalinga-2024,"Kalinga",2024,"Tanikella Bharani","Dhruva Vaayu",Published
double-ismart-2024,"Double iSmart",2024,"Ram Pothineni","Puri Jagannadh",Published
geetasakshigaa-2023,"Geetasakshigaa",2023,"Aadarsh","Anthony Mattipalli",Published
meter-2023,"Meter",2023,"Kiran Abbavaram","Ramesh Kaduri",Published
phalana-abbayi-phalana-ammayi-2023,"Phalana Abbayi Phalana Ammayi",2023,"Naga Shaurya","Srinivas Avasarala",Published
bandra-2023,"Bandra",2023,"Dileep","Arun Gopy",Published
mayalo-2023,"#mayalo",2023,"Naresh Agastya","Megha Mithra Pervar",Published
pindam-2023,"Pindam",2023,"Srikanth","Saikiran Daida",Published
asvins-2023,"Asvins",2023,"Vasanth Ravi","Tarun Teja Mallareddy",Published
amala-2023,"Amala",2023,"Srikanth","Safeer Thailan",Published
aadikeshava-2023,"Aadikeshava",2023,"Panja Vaisshnav Tej","Srikanth N Reddy",Published
baby-2023,"Baby",2023,"Diego Calva","Damien Chazelle",Published
dochevaarevarura-2023,"Dochevaarevarura",2023,"Pranava Chandra","Siva Nageshwara Rao",Published
slum-dog-husband-2023,"Slum Dog Husband",2023,"Muralidhar Goud","A. R. Sreedhar",Published
writer-padmabhushan-2023,"Writer Padmabhushan",2023,"Suhas","Shanmukha Prasanth",Published
csi-sanatan-2023,"Csi Sanatan",2023,"Aadi Saikumar","Siva Shankar Dev",Published
paruvu-2023,"Paruvu",2023,"Naveen Chandra","Siddharth Naidu",Published
miss-shetty-mr-polishetty-2023,"Miss. Shetty Mr. Polishetty",2023,"Anushka Shetty","Mahesh Babu P",Published
nenu-student-sir-2023,"Nenu Student Sir!",2023,"Bellamkonda Ganesh","Rakhi Uppalapati",Published
keedaa-cola-2023,"Keedaa Cola",2023,"Rag Mayur","Tharun Bhascker",Published
music-school-2023,"Music School",2023,"Sharman Joshi","Papa Rao Biyyala",Published
maataraani-mounamidhi-2023,"Maataraani Mounamidhi",2023,"Suman Shetty","Suku Purvaj",Published
barla-narayana-2023,"Narayana & Co",2023,"Sudhakar Komakula","Murali Kishor Abburu",Published
o-kala-2023,"O Kala",2023,"Ali Basha","Deepak Kolipaka",Published
balagam-2023,"Balagam",2023,"Priyadarshi Pullikonda","Venu",Published
10-rupees-2023,"10 Rupees",2023,"Srikanth","S. Ravikanth",Published
maama-mascheendra-2023,"Maama Mascheendra",2023,"Sudheer Babu","Harsha Vardhan",Published
katha-venuka-katha-2023,"Katha Venuka Katha",2023,"Viswant Duddumpudi","Krishna Chaitanya",Published
sathi-gani-rendu-ekaralu-2023,"Sathi Gani Rendu Ekaralu",2023,"Jagadeesh Bandari","Abhinav Danda",Published
mr-kalyan-2023,"Mr. Kalyan",2023,"Maanyam Krishnaa","Pandu",Published
her-chapter-1-2023,"Her: Chapter 1",2023,"Vikas Vashishta","Sreedhar Swaraghav",Published
mentoo-2023,"#MenToo",2023,"Naresh Agastya","Srikanth G. Reddy",Published
peddha-kapu-1-2023,"Peddha Kapu - 1",2023,"Virat Karrna","Srikanth Addala",Published
rules-ranjann-2023,"Rules Ranjann",2023,"Kiran Abbavaram","Jyothi Krishna",Published
raa-raa-penimiti-2023,"Raa Raa... Penimiti",2023,"Tanikella Bharani","Satya Venkata Geddada",Published
kannai-nambathe-2023,"Kannai Nambathe",2023,"Udhayanidhi Stalin","Mu. Maran",Published
the-eye-2023,"The Eye",2023,"Mark Rowley","Daphne Schmon",Published
das-ka-dhamki-2023,"Das Ka Dhamki",2023,"Vishwak Sen","Vishwak Sen",Published
saachi-2023,"Saachi",2023,"Ashok Mulavirat","Vivek Pothagoni",Published
bubblegum-2023,"Bubblegum",2023,"Harsha Chemudu","Ravikanth Perepu",Published
kranthi-2023,"Kranthi",2023,"Rakendu Mouli","Bhima Shankar",Published
amigos-2023,"Amigos",2023,"Nandamuri Kalyan Ram","Rajendra Reddy",Published
rebels-of-thupakula-gudem-2023,"Rebels of Thupakula Gudem",2023,"Praveen Kandregula","Jaideep Vishnu",Published
kalyanam-kamaneeyam-2023,"Kalyanam Kamaneeyam",2023,"Santosh Shoban","Anil kumar Aalla",Published
organic-mama-hybrid-alludu-2023,"Organic Mama Hybrid Alludu",2023,"Rajendra Prasad","S. V. Krishna Reddy",Published
maa-oori-polimera-2-2023,"Maa Oori Polimera 2",2023,"Satyam Rajesh","Anil Viswanath",Published
bhaag-saale-2023,"Bhaag Saale",2023,"Sri Simha","Pranith Bramandapally",Published
atharva-2023,"Atharva",2023,"Karthik Raj","Mahesh Reddy",Published
