ID,Title,Year,Hero,Director,Our Rating,Has Poster,Synopsis (first 100 chars),Missing Data
42723858-b7bd-47cd-bc9b-146758488559,"Sindoor",1987,"Shashi Kapoor","K. Ravi Shankar",,NO,"A 1987 Telugu film directed by K. Ravi Shankar.","RATING, POSTER, SYNOPSIS"
07540f9d-50b5-4fdd-85aa-311dcd9295dc,"Kaboye Alludu",1987,"Rajendra Prasad","Relangi Narasimha Rao",,NO,"","RATING, POSTER, SYNOPSIS"
abd4b663-0645-4904-9865-1aa767a8a813,"Dabbevariki Chedu",1987,"Rajendra Prasad","Relangi Narasimha Rao",,NO,"","RATING, POSTER, SYNOPSIS"
445b265b-b7fa-4d0f-ad49-a0967b4c631a,"Kirai Dada",1987,"Nagarjuna Akkineni","A. Kodandarami Reddy",,NO,"","RATING, POSTER, SYNOPSIS"
bcf99d1d-facb-4ee6-bdca-841789cd0b5a,"Gandhinagar Rendava Veedhi",1987,"Rajendra Prasad","P. N. Ramachandra Rao",,NO,"","RATING, POSTER, SYNOPSIS"
aa3fb5d3-f964-4534-97db-df8481676f2a,"Sankeerthana",1987,"","Jorge Manzano",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
45a1d1d7-b79a-4bcb-a814-0cbe4b36b191,"Aisa Pyaar Kahan",1986,"Glenn Ford","Charles Vidor",,NO,"","RATING, POSTER, SYNOPSIS"
ec820d05-afa3-4498-8a96-b1d6c95b1d22,"Pyar Ke Do Pal",1986,"Mithun Chakraborty","Rajiv Mehra",,NO,"A 1986 Telugu film directed by Rajiv Mehra.","RATING, POSTER, SYNOPSIS"
94e77969-a916-4237-8628-6883292cd740,"Janbaaz",1986,"Feroz Khan","Feroz Khan",,NO,"A 1986 Telugu film directed by Feroz Khan.","RATING, POSTER, SYNOPSIS"
ae47e37d-0918-4b12-abaa-abbe390f6a11,"Muddat",1986,"Mithun Chakraborty","K. Bapayya",,NO,"A 1986 Telugu film directed by K. Bapayya.","RATING, POSTER, SYNOPSIS"
3ecc24aa-4690-43ac-ad3e-788cb5d5e7dd,"Kashmora",1986,"Karthi","N. B. Chakravarthy",,NO,"","RATING, POSTER, SYNOPSIS"
f9bba0dc-ab55-49ea-b75b-afaab5165f63,"Kodama Simham",1986,"Chiranjeevi","K. Murali Mohana Rao",,NO,"","RATING, POSTER, SYNOPSIS"
d60b0106-384b-4f9e-99b8-d959bb22ca1b,"Sita Rama Kalyanam",1986,"Nandamuri Balakrishna","Jandhyala",6.8,NO,"","POSTER, SYNOPSIS"
bc766693-9002-4bad-9e34-1a89051ffc4b,"Padaharella Ammayi",1986,"","P. S. Krishna Mohan Reddy",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
216578da-2745-4fc7-9241-e8a432cf768c,"Pyaar Ke Do Pal",1986,"Ray Milland","Rajiv Mehra",,NO,"","RATING, POSTER, SYNOPSIS"
fbc06ae8-0c76-4f77-bd0b-843444a9a2d3,"Balidaan",1985,"Jeetendra","S. A. Chandrasekhar",,NO,"A 1985 Telugu film directed by S. A. Chandrasekhar starring Sridevi and Sridevi.","RATING, POSTER"
c03c3b7c-4ea6-49bf-acd8-cc7a5400f72e,"Zabardast",1985,"Sanjeev Kumar","Nasir Hussain",,NO,"A 1985 Telugu film directed by Nasir Hussain.","RATING, POSTER, SYNOPSIS"
32d1e7f0-d06e-4892-aaa9-38e68cb3fd06,"Sardar&#91;41&#93;",1984,"Jaya Prada","",,NO,"A 1984 Telugu film starring Jaya Prada.","DIRECTOR, RATING, POSTER, SYNOPSIS"
da08244c-b75c-4473-9abe-088555ce819e,"Main Awara Hoon",1983,"Jaya Prada","",,NO,"A 1983 Telugu film starring Jaya Prada and Raj Babbar.","DIRECTOR, RATING, POSTER"
9fcf70da-160e-4635-af49-538749378675,"Shubha Muhurtam",1983,"Murali Mohan","C. P. Kolli",,NO,"","RATING, POSTER, SYNOPSIS"
d40fc607-a589-409d-ad3c-5c8a655399a0,"Saagara Sangamam",1983,"Kamal Haasan","K. Viswanath",,NO,"A 1983 Telugu film directed by K. Viswanath.","RATING, POSTER, SYNOPSIS"
839e0266-9357-4e1e-9f2e-fe7f50e7953b,"Sandhippu",1983,"Sivaji Ganesan","C. V. Rajendran",,NO,"A 1983 Telugu film directed by C. V. Rajendran.","RATING, POSTER, SYNOPSIS"
26a68cd4-8964-4476-a021-926903bcd6ab,"Simha Gharjane",1983,"Vijayashanti","S. A. Chandrasekhar",,NO,"A 1983 Telugu film directed by S. A. Chandrasekhar starring Vijayashanti and Vijayashanti.","RATING, POSTER"
5303c9b2-7a00-493f-bcd8-ad6c3373f890,"Palletoori Monagadu",1983,"Chiranjeevi","S. A. Chandrasekhar",,NO,"A rural drama featuring Chiranjeevi in the role of a village youth. The film explores the simplicity","RATING, POSTER"
f2c5a205-9338-4947-8f9a-9d2027082099,"Meghasandesham",1982,"","Dasari Narayana Rao",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
7817056b-9772-4c19-902e-24723aea1d4d,"Talli Kodukula Anubandham",1982,"","K. S. R. Das",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
ac2d3a7f-43c6-4eef-8d48-aef4be45465e,"Trishulam",1982,"","K. Raghavendra Rao",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
11485c64-4eb3-42be-90ed-457fd91ab343,"Madhura Swapnam",1982,"","K. Raghavendra Rao",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
dc4eaf11-0b2a-4438-a2cb-263e739e5cd3,"Devata",1982,"Akkineni Nageswara Rao","Thatineni Prasad",,NO,"","RATING, POSTER, SYNOPSIS"
e2d3f4ec-ce83-42ff-bcdf-baa5b5d74a18,"Ilanjodigal",1982,"Karthik Muthuraman","Rama Narayanan",,NO,"A 1982 Telugu film directed by Rama Narayanan.","RATING, POSTER, SYNOPSIS"
6bf02cce-97aa-4075-9756-adb08cf497e6,"Nenjile Thunivirunthal",1981,"Vijayakanth","S. A. Chandrasekhar",,NO,"A 1981 Telugu film directed by S. A. Chandrasekhar.","RATING, POSTER"
6121afa9-67d8-4f6e-bf9e-b5c34b0ac56e,"Netrikan",1981,"Rajinikanth","S. P. Muthuraman",,NO,"A 1981 Telugu film directed by S. P. Muthuraman.","RATING, POSTER, SYNOPSIS"
06506eed-73d6-43dd-af5e-66030ac47b65,"Paravathi Parameshwarulu",1981,"Chandra Mohan","M. S. Kota Reddy",,NO,"","RATING, POSTER, SYNOPSIS"
734bcc42-6731-4c13-9c66-30a4e50e5fd7,"Adavaallu Meeku Joharulu",1981,"","K. Balachander",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
0a0d8345-02a7-4343-ada9-89ea66b5f912,"Agni Sanskaram",1980,"Gummadi","G. V. Prabhakar",,NO,"","RATING, POSTER, SYNOPSIS"
ab22a959-7c31-43a8-aa31-5f82dcf5dea6,"Inimai Idho Idho",1980,"","R. Ramamurthy",,NO,"","HERO, RATING, POSTER, SYNOPSIS"
4b47dda0-1b59-48e2-94a5-d910172668f4,"Vishwaroobam",1980,"Sivaji Ganesan","A. C. Tirulokchandar",,NO,"A 1980 Telugu film directed by A. C. Tirulokchandar.","RATING, POSTER"
90c2fb7e-6c92-45a4-81c4-a6c18b32e742,"Rakta Sambandham",1980,"Murali Mohan","M. Mallikarjuna Rao",,NO,"","RATING, POSTER, SYNOPSIS"
bbf3b8b2-ff2a-4ded-a6c3-86e9c9f17a7e,"Q12985478",1979,"Chiranjeevi","K. Vasu",7,YES,"","SYNOPSIS"
7b15d303-ebc5-4428-a266-f6f11604cc9b,"Priya",1978,"Sridevi","S. P. Muthuraman",,NO,"A 1978 Telugu film directed by S. P. Muthuraman starring Sridevi and Sridevi.","RATING, POSTER"
1a2d75cb-f7af-44c0-b7ad-eaf4b4bcfc31,"Q16311395",1978,"Vijayachander","A. Bhimsingh",7.5,YES,"","SYNOPSIS"
a6fef85e-9f2e-46b4-8fa8-7daf7748546d,"Vanakkathukuriya Kathaliye",1978,"Sridevi","A. C. Tirulokchandar",,NO,"A 1978 Telugu film directed by A. C. Tirulokchandar starring Sridevi and Sridevi.","RATING, POSTER"
d5a0eedb-5789-4ac9-8b99-7e7291498562,"டாக்ஸி டிரைவர்",1978,"Jaishankar","N. S. Manian",,NO,"A 1978 Telugu film directed by N. S. Manian.","RATING, POSTER, SYNOPSIS"
8be8694c-0165-4bf2-b13a-64efcc5171e9,"Unnai Suttrum Ulagam",1977,"","G. Subramaniya Reddiar",,NO,"A 1977 Telugu film directed by G. Subramaniya Reddiar.","HERO, RATING, POSTER"
e0d66df8-d137-4e1f-b548-b59fbc1119b1,"Dasavatharam",1976,"Gemini Ganesan","K. S. Gopalakrishnan",,NO,"A 1976 Telugu film directed by K. S. Gopalakrishnan.","RATING, POSTER"
d7ea2bdc-b127-4737-9553-d63ea6ab0415,"Sita Swayamvar",1976,"Ravikumar","Bapu",,NO,"A 1976 Telugu film directed by Bapu.","RATING, POSTER, SYNOPSIS"
fbe0ee14-3cd4-4f31-9c60-b4494dd4a472,"Andaru Dongale",1974,"Rajendra Prasad","Nidhi Prasad",,NO,"","RATING, POSTER, SYNOPSIS"
a5a91ed7-aec0-49b9-b885-e9d1d8daa2b7,"Bhaktha Kumbara",1974,"Dr. Rajkumar","Hunsur Krishnamurthy",,NO,"A 1974 Telugu film directed by Hunsur Krishnamurthy.","RATING, POSTER"
03675861-2837-49a1-aedb-24cd1dfbe391,"Bharatha Vilas",1973,"Sivaji Ganesan","A. C. Tirulokchandar",,NO,"A 1973 Telugu film directed by A. C. Tirulokchandar.","RATING, POSTER"
bf98877b-af8a-4e0d-ac13-369a4cb3a183,"Chuzhi",1973,"","Triprayar Sukumaran",,NO,"A 1973 Telugu film directed by Triprayar Sukumaran.","HERO, RATING, POSTER"
37e0ce5f-6a3d-427a-a009-77bbdc75b789,"Sharada",1973,"M G Soman","K G Rajasekharan",,NO,"","RATING, POSTER, SYNOPSIS"
25f82db4-34b8-48a8-ba9d-bfa0e841a394,"Sange Muzhangu",1972,"M. G. Ramachandran","P. Neelakantan",,NO,"A 1972 Telugu film directed by P. Neelakantan.","RATING, POSTER, SYNOPSIS"
5cb44bbf-dd51-48d3-99d9-2834bb09fe16,"Bala Mitrula Katha",1972,"Gummadi","",,NO,"","DIRECTOR, RATING, POSTER, SYNOPSIS"
186f8797-47ae-42cd-a97c-c6788996fd6e,"Agathiyar",1972,"Gemini Ganesan","A. P. Nagarajan",,NO,"A 1972 Telugu film directed by A. P. Nagarajan.","RATING, POSTER, SYNOPSIS"
034537e3-d2d8-48db-a0ac-8f1615357634,"Kanimuthu Paappa",1972,"Jaishankar","S. P. Muthuraman",,NO,"A 1972 Telugu film directed by S. P. Muthuraman.","RATING, POSTER, SYNOPSIS"
f9538b63-e013-4c43-b1e7-9e005d04895a,"Adi Parasakthi",1971,"Gemini Ganesan","K. S. Gopalakrishnan",,NO,"A 1971 Telugu film directed by K. S. Gopalakrishnan.","RATING, POSTER"
9e112fab-e469-494a-bd81-64c32e227647,"Kalyana Mandapam",1971,"Kiran Abbavaram","Sridhar Gade",,NO,"","RATING, POSTER, SYNOPSIS"
