ID,Slug,Title,Year,Director,Hero,Heroine,Music_Director_TO_FILL
f512c3d9-9b62-45bc-ace6-82bee59f59b3,raja-simha-1969,"Raja Simha",1969,"K. Vasu","N. T. Rama Rao","Vanisri",
8d228b89-4ac8-43ec-9f37-a547d94dfda5,takkari-donga-chakkani-chukka-1969,"Takkari Donga Chakkani Chukka",1969,"K. S. R. Doss","Krishna","Vijaya Nirmala",
f1347cbb-0a3e-47e1-841f-8c01ab4b67d4,ukkupidugu-1969,"Ukkupidugu",1969,"K.S.R. Das","Krishna","Vijaya Nirmala",
3375e740-b354-43d7-9060-32ff3e015276,attagaru-kotha-kodalu-1968,"Attagaru Kotha Kodalu",1968,"Akkineni Sanjeevi Rao","Krishna","Vijaya Nirmala",
06cab2b9-2dbb-4b0b-a2ef-abe918e9713a,bhale-monagadu-1968,"Bhale Monagadu",1968,"Bollepalli","Krishna","Vanisri",
2a858902-96d8-4768-91f3-af8af7dbec5d,evaru-monagadu-1968,"Evaru Monagadu",1968,"R. Sundaram","Kanta Rao","Sowcar Janaki",
57d783f9-6889-4b27-b114-ce00d205c117,nenante-nene-1968,"Nenante Nene",1968,"V. Madhusudhan Rao","Krishna","Kanchana",
d0d8ec51-6a7c-451c-8b06-a2441c5c1dc1,paala-manasulu-1968,"Paala Manasulu",1968,"S.S.R. Krishna","Haranath","Jamuna",
5959739b-7f60-4bc6-8e72-b3e7b0973b8d,padma-shri-1968,"Padma Shri",1968,"Vikram Pradhan","Akkineni Nageswara Rao","Vijaya Nirmala",
258f2df6-52f2-4d89-bafd-c1c1388c6783,papa-kosam-1968,"Papa Kosam",1968,"G.V.R. Seshagiri Rao","Tyagaraju","Baby Rani",
72df1acd-239f-4411-bd05-e0e687888686,pelliroju-1968,"Pelliroju",1968,"K. Sanjeevi","Haranath","Jamuna",
184870e2-c81f-4210-afb6-35d358df8d7f,rana-bheri-1968,"Rana Bheri",1968,"Giduthoori Suryam","Ramakrishna","Vijaya Nirmala",
3a39095a-5bf2-40b2-a5d7-e69ae0e16f78,vintha-kapuram-1968,"Vintha Kapuram",1968,"K. Sanjeevi","Haranath","Jamuna",
001fe9a1-f9ee-4b95-bfc3-ed3eff1c25a1,bhaktha-prahlada-1967,"Bhaktha Prahlada",1967,"Chitrapu Narayana Rao","S.V. Ranga Rao","Anjali Devi",
b253a2c0-7389-4d0c-9cac-0a9f357ec730,chadarangam-1967,"Chadarangam",1967,"S.V. Ranga Rao","N. T. Rama Rao","Jamuna",
81c9bbab-09bc-46e7-bb31-d25757ac50d3,dwapayana-kaivalyam-1967,"Dwapayana Kaivalyam",1967,"G.K. Brahmanandam","Tadepalli Lakshmi Kanta Rao","Rajasree",
3e2d22e0-23fd-419e-b1f4-4063de8f2a41,upayamlo-apayam-1967,"Upayamlo Apayam",1967,"T. Krishna","Krishna","Vijaya Nirmala",
bad968b2-7c4b-472d-bd89-ae21c6ee0912,loguttu-perumallukeruka-1966,"Loguttu Perumallukeruka",1966,"K.S.R. Das","Krishna","Vijaya Nirmala",
d9290f37-89e9-40b1-abf0-b322355eaefd,paramanandayya-sishyula-katha-1966,"Paramanandayya Sishyula Katha",1966,"C. Pullaiah","N. T. Rama Rao","K. R. Vijaya",
2142390d-8c14-4236-9aae-eb20edaa95cd,shri-krishna-pandaviyam-1966,"Shri Krishna Pandaviyam",1966,"N. T. Rama Rao","N. T. Rama Rao","K. R. Vijaya",
9d7f8955-4c70-4623-88f6-4acbf7e0a0fb,jwala-dweepa-rahasyam-1965,"Jwala Dweepa Rahasyam",1965,"B Vittalacharya","Kanta Rao","Krishna Kumari",
3bbeed9a-30c4-458c-827a-11f4df9582c4,poojaikku-vandha-malar-1965,"Poojaikku Vandha Malar",1965,"Muktha Srinivasan","Gemini Ganesan","Savitri",
2c262b88-1e37-4622-a35c-cd8238e001c6,sati-sakkubai-1965,"Sati Sakkubai",1965,"Vedantam Raghavayya","P. Kannamba","S. V. Ranga Rao",
7b1066db-9d80-441d-9b3c-a9fa94c5be35,sri-simhachala-kshetra-mahima-1965,"Sri Simhachala Kshetra Mahima",1965,"B.V. Prasad","Kanta Rao","Krishna Kumari",
076745f1-ed22-4c60-80b4-de2cd38e198c,vallavanukku-vallavan-1965,"Vallavanukku Vallavan",1965,"R. Sundaram","Gemini Ganesan","Savitri",
02e703b0-1edb-4af0-aedc-d1235bcc7f1b,apne-huye-paraye-1964,"Apne Huye Paraye",1964,"Ajit Chakrabarty","Manoj Kumar","Mala Sinha",
c2ff5c7e-7bd0-4ec4-9967-7d69c261810a,ganga-ki-lahren-1964,"Ganga Ki Lahren",1964,"Devi Sharma","Dharmendra","Savitri",
