"Movie ID","Movie Title","Original Cast Count","Deduplicated Count","Duplicates Removed","Sample Duplicate Names"
"db9c6dd1-37bc-4a3c-b2a3-e4eebcb97213","Chandrahasa","14","7","7","Janaki, Raja Babu, Ramakrishna, Sujatha, G Varalakshmi"
"91bf0fa8-49b9-4068-b125-544441217141","Sri Satyanarayana Mahathyam","9","4","5","Janaki, Sujatha, G Varalakshmi"
"9bbd34ba-b703-42db-841e-14dc8f0ab985","Illarikam","10","5","5","Allu, Ramakrishna, Gummadi"
"27353947-7da8-49f1-8cfa-d8688684073e","Amara Deepam","8","4","4","Janaki, G Varalakshmi"
"d4e762fa-9836-4c79-a565-fda0b8f88b40","Barfi!","9","6","3","Anurag Basu"
"898aa1eb-8a64-401c-8c40-f193efb453e3","Bhookailas","15","12","3","Janaki, Satyanarayana, Krishna Kumari"
"0969f0c7-0212-47ab-a295-94e850d24f42","Yatra","9","6","3","Kalyani, Kaveri, Suhasini"
"bce93471-98d5-4f89-ae68-ecd82a67fab3","Bangaru Bhoomi","8","5","3","Geetha, Raja Babu, Satyanarayana"
"8d10e24a-55aa-4286-a7b5-61ef264f2abe","Padi Pantalu","8","5","3","Allu, Chandra Mohan, Latha"
"c78ffe87-4ab5-4d13-a7e0-d7abef4e1280","Gulebakavali Katha","7","4","3","Raja Babu, Ramakrishna, Satyanarayana"
"4fced10f-d9a3-4286-b64c-64cb4326d054","Legend","6","3","3","Kalyani, Kaveri, Suhasini"
"f9831ee1-4c96-4625-bbdd-ce69802b46a0","Daasi","5","2","3","G Varalakshmi"
"920867df-c964-4054-8635-6f1e04dcae02","Jagga Jasoos","9","6","3","Anurag Basu"
"ae61aff7-9ab6-45d9-86df-5f367d647f21","Iddaru Kodukulu","6","3","3","Allu, Radha, Tulasi"
"19d51d48-0d50-4181-ba81-6c97b1e896b1","Ludo","9","6","3","Anurag Basu"
"c32e4c6e-4d4a-4778-9a6c-4dcf4174f640","Size Zero","4","2","2","Nandu, Nandu Vijay Krishna"
"6f2dcc1f-1e29-45bc-9b0b-00f45c9c510b","Brahmalokam to Yamalokam via Bhulokam","4","2","2","Jeeva, Laya"
"b9136d7c-bb82-4c5e-96be-f411bf6bbc66","Hebbuli","4","2","2","Kalyani, Kaveri"
"4990392c-d98e-4a2e-a110-9506cb71210e","Letha Manasulu","4","2","2","Kalyani, Kaveri"
"e19fd0dc-a7fd-4e2a-af34-5d950a2f2684","Dhana 51","4","2","2","Kalyani, Kaveri"
"28fc56e8-bd4a-4517-9d3d-429b016b8af3","Autonagar Surya","4","2","2","Nandu, Nandu Vijay Krishna"
"559c82d7-9be7-4bdf-8090-25de10686f27","Shourya","4","2","2","Nandu, Nandu Vijay Krishna"
"162a355b-2e51-4dfb-9aab-b23933f83c0b","Andala Ramudu","4","2","2","Allu, Raja Babu"
"eb7619c1-15de-460d-855f-8b3521ccfa86","Devudu Chesina Pelli","4","2","2","Chandra Mohan, Sai Kumar"
"27880fd4-e736-404a-a50e-d90f8aa38df7","Chitram","4","2","2","Sivaji Sontineni, Teja"
"fc33e50b-a9b5-4056-aea0-82e850c00c8e","Avunu Valliddaru Ista Paddaru!","4","2","2","Jeeva, Vamsy"
"a05bd6d6-9a6d-422b-8130-db6dcb11226c","Geetha Govindam","19","17","2","Kalyani, Kaveri"
"2c5de571-db37-49d4-b2fa-e6a837484c3f","Vaali – Sugreeva","4","2","2","G Varalakshmi"
"982263da-0942-4aca-9d1a-0cd1996a6bad","Seema Simham","4","2","2","Sai Kumar, Sujatha"
"41b15cfc-5de9-473f-ac0a-92fd7a68ee45","Villain","9","7","2","Srikanth, Srikanth Meka"
"d89ce658-cb53-4fa0-a2c4-6840d8d6abd0","Seshu","4","2","2","Kalyani, Rajasekhar"
"b9c22e37-d8d2-4e1d-a46a-9416cec4c7d9","Tikka Sankaraiah","4","2","2","Allu, Raja Babu"
"fe544d6b-89a3-4e43-a05d-6575c7cca1e7","Bahudoorapu Batasari","4","2","2","Ramakrishna, Suhasini"
"32d1c1ea-abd5-44ae-980e-369ba2f6ab96","Athiradi Padai","2","1","1","Lakshmi"
"ff32a1f8-e0a8-41fd-9fe9-5f9ffb94b6fa","Angala Parameswari","2","1","1","Roja"
"6856bec5-ea2e-4211-9650-e3efe1cf7a39","7 Khoon Maaf","7","6","1","Annu Kapoor"
"39bbfbaa-933b-4fcd-bb39-a3915bfe671a","Super 30","7","6","1","254e75a3"
"a784367c-e6c8-4eac-bdd0-19b54530c4a8","Karma","2","1","1","Satyanarayana"
"dc3802e9-0799-4bc6-bbbb-cb279b0ebf47","Babu Bangaram","2","1","1","Janaki"
"29b0e653-baa2-4014-82bb-2f52ac258f87","Tholi Prema","7","6","1","Sapna Pabbi"
"4f1f98f7-64ae-4fdf-ac15-4de4d6ffb61b","35 - Chinna Katha Kaadu","15","14","1","Krishna Teja"
"b438d150-d104-4493-b0db-bda25b66d21c","Yugandhar","2","1","1","K S R Das"
"dd2a2acf-6bfc-4f03-9c2d-f6a653e386fc","Iraivi","7","6","1","Rajashree"
"658606e7-9a74-49f5-8748-3757e84426e0","Sankalpam","2","1","1","Chandra Mohan"
"5d6c429e-3f14-4cf6-90e0-eee6a6af0197","Priya Nestama","2","1","1","Sivaji Sontineni"
"e220d138-b174-4291-8fac-062bf1fc18e5","Chattam","2","1","1","Jeeva"
"fb999fd1-1cb7-479b-9881-3176071bfb57","Madhumasam","2","1","1","Naresh"
"4d02a2a9-4ca1-4b18-a73c-6cc0ddb102e4","Unnidathil Ennai Koduthen","2","1","1","Anusha"
"040ddcba-f26c-4f3f-91bc-4db2c9a2e4a1","RAM: Rapid Action Mission","2","1","1","Sai Kumar"
"57be71ab-7a23-4f05-9937-44fb0e164c34","Arul","2","1","1","Sujatha"
"85ab9ba4-130c-423e-be7c-671d2243a5ea","Rajasthan","2","1","1","Anusha"
"40f5ef8f-26aa-4a97-b5a5-188797757666","Padmaavat","7","6","1","Aditi Rao Hydari"
"6f4940f6-0872-49a5-b703-addeedfd2ee0","Prema Jeevulu","7","6","1","K S R Das"
"46561ff1-e3cf-4ae3-8030-1203e4a2536e","Amma Durgamma","2","1","1","Jeeva"
"db7ccc30-1d08-4086-9641-5d99382e56ca","Ko","7","6","1","Kvas"
"755c38d6-107e-497a-8b04-0f41f8c5768b","Samanyudu","2","1","1","Sai Kumar"
"2997fec0-5b50-45c0-80c9-4f861fa419d9","Goa","7","6","1","Sneha"
"2153b25d-a999-4c1f-95c0-b9c9ba8bca5f","Kartavyam","2","1","1","Meena"
"3b4d3ed1-27d0-4d0d-b5a3-c5d2504b3ff0","Friends","7","6","1","Saritha"
"5d84bb6b-450b-4f96-85c7-873a4d834bf0","Kanchana Ganga","2","1","1","Saritha"
