Actor,Movie Title,Action,Status
"pawan kalyan","Atharintiki Daaredi","Added to supporting_cast",✓ Fixed
"pawan kalyan","Gopala Gopala","Added to supporting_cast",✓ Fixed
"pawan kalyan","Sardar Gabbar Singh","Added to supporting_cast",✓ Fixed
"pawan kalyan","Katamarayudu","Added to supporting_cast",✓ Fixed
"pawan kalyan","Agnyaathavaasi","Added to supporting_cast",✓ Fixed
"pawan kalyan","Vakeel Saab","Added to supporting_cast",✓ Fixed
"pawan kalyan","Bheemla Nayak","Added to supporting_cast",✓ Fixed
"pawan kalyan","Chal Mohan Ranga","Added to supporting_cast",✓ Fixed
"pawan kalyan","Sye Raa Narasimha Reddy","Added to supporting_cast",✓ Fixed
"pawan kalyan","Panjaa","Added to supporting_cast",✓ Fixed
"pawan kalyan","Hari Hara Veera Mallu: Part 1 – Sword vs Spirit","Added to supporting_cast",✓ Fixed
"prabhu deva","Mouna Raagam","Added to supporting_cast",✓ Fixed
"prakash raj","Sammakka Sarakka","Added to supporting_cast",✓ Fixed
"prakash raj","Mrugaraju","Added to supporting_cast",✓ Fixed
"prakash raj","Premaku Swagatham","Added to supporting_cast",✓ Fixed
"prakash raj","Varsham","Added to supporting_cast",✓ Fixed
"prakash raj","Pokkiri","Added to supporting_cast",✓ Fixed
"prakash raj","Villu","Added to supporting_cast",✓ Fixed
"prakash raj","Bangalore Naatkal","Added to supporting_cast",✓ Fixed
"prakash raj","Varisu","Added to supporting_cast",✓ Fixed
"prakash raj","Mozhi","Added to supporting_cast",✓ Fixed
"prakash raj","Payanam","Added to supporting_cast",✓ Fixed
"pushpavalli","Daasi","Added to supporting_cast",✓ Fixed
"pushpavalli","Pempudu Koduku","Added to supporting_cast",✓ Fixed
"pushpavalli","Chenchu Lakshmi","Added to supporting_cast",✓ Fixed
"pushpavalli","Intiguttu","Added to supporting_cast",✓ Fixed
"pushpavalli","Sampoorna Ramayanam","Added to supporting_cast",✓ Fixed
"pushpavalli","Bandipotu","Added to supporting_cast",✓ Fixed
"pushpavalli","Amara Shilpi Jakkanna","Added to supporting_cast",✓ Fixed
"pushpavalli","Kai Koduttha Dheivam","Added to supporting_cast",✓ Fixed
"pushpavalli","Aada Brathuku","Added to supporting_cast",✓ Fixed
"pushpavalli","Sati Sakkubai","Added to supporting_cast",✓ Fixed
"pushpavalli","Rangula Ratnam","Added to supporting_cast",✓ Fixed
"pushpavalli","Shakuntala","Added to supporting_cast",✓ Fixed
"pushpavalli","Sati Sumathi","Added to supporting_cast",✓ Fixed
"pushpavalli","Bhama Vijayam","Added to supporting_cast",✓ Fixed
"pushpavalli","Bangaru Panjaram","Added to supporting_cast",✓ Fixed
"raasi","Rao Gari Illu","Added to supporting_cast",✓ Fixed
"raasi","Aditya 369","Added to supporting_cast",✓ Fixed
"raasi","Palnati Pourusham","Added to supporting_cast",✓ Fixed
"raasi","Postman","Added to supporting_cast",✓ Fixed
"raasi","Maa Aavida Meeda Ottu Mee Aavida Chala Manchidi","Added to supporting_cast",✓ Fixed
"raasi","Venky","Added to supporting_cast",✓ Fixed
"raasi","Aakatayi","Added to supporting_cast",✓ Fixed
"raja","O Chinnadana","Added to supporting_cast",✓ Fixed
"raja","Vijayam","Added to supporting_cast",✓ Fixed
"raja","Anand","Added to supporting_cast",✓ Fixed
"raja","Vennela","Added to supporting_cast",✓ Fixed
"raja","Bangaram","Added to supporting_cast",✓ Fixed
"raja","Toss","Added to supporting_cast",✓ Fixed
"raja","Sontha ooru","Added to supporting_cast",✓ Fixed
"raja","Inkosaari","Added to supporting_cast",✓ Fixed
"raja","Mr. Nookayya","Added to supporting_cast",✓ Fixed
"rajasekhar","Ravanna","Added to supporting_cast",✓ Fixed
"rajendra prasad","Sneham","Added to supporting_cast",✓ Fixed
"rajendra prasad","Mundadugu","Added to supporting_cast",✓ Fixed
"rajendra prasad","Vande Mataram","Added to supporting_cast",✓ Fixed
"rajendra prasad","Kashmora","Added to supporting_cast",✓ Fixed
"rajendra prasad","Samsaram","Added to supporting_cast",✓ Fixed
"rajendra prasad","Bandhuvulostunnaru Jagratha","Added to supporting_cast",✓ Fixed
"rajendra prasad","Vichitra Prema","Added to supporting_cast",✓ Fixed
"rajendra prasad","Bramhachari Mogudu","Added to supporting_cast",✓ Fixed
"rajendra prasad","Vaddu Bava Tappu","Added to supporting_cast",✓ Fixed
"rajendra prasad","Mummy Mee Aayanochadu","Added to supporting_cast",✓ Fixed
"rajendra prasad","Hitler","Added to supporting_cast",✓ Fixed
"rajendra prasad","Kshemanga Velli Labhamga Randi","Added to supporting_cast",✓ Fixed
"rajendra prasad","Ammo Bomma","Added to supporting_cast",✓ Fixed
"rajendra prasad","Sandade Sandadi","Added to supporting_cast",✓ Fixed
"rajendra prasad","Sriramachandrulu","Added to supporting_cast",✓ Fixed
"rajendra prasad","Oka Pellam Muddu Rendo Pellam Vaddu","Added to supporting_cast",✓ Fixed
"rajendra prasad","Andagadu","Added to supporting_cast",✓ Fixed
"rajendra prasad","Iddaru Attala Muddula Alludu","Added to supporting_cast",✓ Fixed
"rajendra prasad","Mee Sreyobhilashi","Added to supporting_cast",✓ Fixed
"rajendra prasad","Brahmalokam to Yamalokam via Bhulokam","Added to supporting_cast",✓ Fixed
"rajendra prasad","Bhale Mogudu Bhale Pellam","Added to supporting_cast",✓ Fixed
"rajendra prasad","F2: Fun and Frustration","Added to supporting_cast",✓ Fixed
"rajendra prasad","Thenali","Added to supporting_cast",✓ Fixed
"rajendra prasad","Boys","Added to supporting_cast",✓ Fixed
"rajendra prasad","Mahasadhvi Mallamma","Added to supporting_cast",✓ Fixed
"rambha","Aa Okkati Adakku","Added to supporting_cast",✓ Fixed
"rambha","Bhairava Dweepam","Added to supporting_cast",✓ Fixed
"rambha","Alluda Majaka","Added to supporting_cast",✓ Fixed
"rambha","Bombay Priyudu","Added to supporting_cast",✓ Fixed
"rambha","Hitler","Added to supporting_cast",✓ Fixed
"rambha","Kodanda Ramudu","Added to supporting_cast",✓ Fixed
"rambha","Mrugaraju","Added to supporting_cast",✓ Fixed
"rambha","Sriramachandrulu","Added to supporting_cast",✓ Fixed
"rambha","Neeku Naaku","Added to supporting_cast",✓ Fixed
