Slug,Title_EN,Year,Hero,Director,Title_TE (TO FILL)
the-birthday-boy-2024,"The Birthday Boy",2024,"Ravi Krishna","Whiskey",
the-family-star-2024,"The Family Star",2024,"Vijay Deverakonda","Parasuram Petla",
theppa-samudram-2024,"Theppa Samudram",2024,"P. Ravi Shankar","Sateesh Rapolu",
tiragabadara-saami-2024,"Tiragabadara Saami",2024,"Raj Tarun","A.S. Ravi Kumar Chowdary",
tom-and-jerry-2024,"Tom And Jerry",2024,"Nithin Rao","Raghav Vinay Shivamani",
uruku-patela-2024,"Uruku Patela",2024,"Tejus Kancherla","Vivek Reddy",
usha-parinayam-2024,"Usha Parinayam",2024,"Vennela Kishore","K. Vijaya Bhaskar",
utsavam-2024,"Utsavam",2024,"Prakash Raj","Arjun Sai",
valari-2024,"Valari",2024,"Ritika Singh","M. Mallikarjun",
vedaa-2024,"Vedaa",2024,"John Abraham","Nikkhil Advani",
veeranjaneyulu-vihara-yatra-2024,"Veeranjaneyulu Vihara Yatra",2024,"Naresh","Anurag Palutla",
vey-dharuvey-2024,"Vey Dharuvey",2024,"Sai Ram Shankar","D. Naveen Reddy",
vidya-vasula-aham-2024,"Vidya Vasula Aham",2024,"Rahul Vijay","Manikanth Gelli",
viraaji-2024,"Viraaji",2024,"Varun Sandesh","Adhyanth Harsha",
viswam-2024,"Viswam",2024,"Gopichand","Sreenu Vaitla",
we-love-bad-boys-2024,"We Love Bad Boys",2024,"Ajay Kumar Kathurvar","Raju Rajendra Prasad",
yatra-2-2024,"Yatra 2",2024,"Jiiva","Mahi V. Raghav",
yevam-2024,"Yevam",2024,"Bharat Raj","Prakash Dantuluri",
zebra-2024,"Zebra",2024,"Satyadev Kancharana","Eashvar Karthic",
mayalo-2023,"#mayalo",2023,"Naresh Agastya","Megha Mithra Pervar",
mentoo-2023,"#MenToo",2023,"Naresh Agastya","Srikanth G. Reddy",
10-rupees-2023,"10 Rupees",2023,"Srikanth","S. Ravikanth",
711-pm-2023,"7:11 PM",2023,"Saahas Pagadala","Chaitu Madala",
aadikeshava-2023,"Aadikeshava",2023,"Panja Vaisshnav Tej","Srikanth N Reddy",
ahimsa-2023,"Ahimsa",2023,"Kamal Kamaraju","Teja",
ala-ila-ela-2023,"Ala Ila Ela",2023,"Shakthi Vasudevan","Raghava Dwarki",
ala-ninnu-cheri-2023,"Ala Ninnu Cheri",2023,"Dinesh Tej","Maresh Shivan",
amala-2023,"Amala",2023,"Srikanth","Safeer Thailan",
amigos-2023,"Amigos",2023,"Nandamuri Kalyan Ram","Rajendra Reddy",
anni-manchi-sakunamule-2023,"Anni Manchi Sakunamule",2023,"Santosh Shoban","B. V. Nandini Reddy",
antham-kadidi-aarambam-1981,"Antham Kadidi Aarambam",2023,"Krishna","Vijaya Nirmala",
anveshi-2023,"Anveshi",2023,"Vijay Dharan Datla","V. J. Khanna",
asalu-2023,"Asalu",2023,"Ravi Babu","Uday",
ashtadigbandhanam-2023,"Ashtadigbandhanam",2023,"Surya Bharath Chandra","Baba PR",
asvins-2023,"Asvins",2023,"Vasanth Ravi","Tarun Teja Mallareddy",
atharva-2023,"Atharva",2023,"Karthik Raj","Mahesh Reddy",
baby-2023,"Baby",2023,"Diego Calva","Damien Chazelle",
bagheera-2023,"Bagheera",2023,"Prabhu Deva","Adhik Ravichandran",
balagam-2023,"Balagam",2023,"Priyadarshi Pullikonda","Venu",
bandra-2023,"Bandra",2023,"Dileep","Arun Gopy",
bedurulanka-2012-2023,"Bedurulanka 2012",2023,"Ajay Ghosh","Clax",
bhaag-saale-2023,"Bhaag Saale",2023,"Sri Simha","Pranith Bramandapally",
bhari-taraganam-2023,"Bhari Taraganam",2023,"Ali Basha","Shekhar Muthyala",
bhola-shankar-2023,"Bhola Shankar",2023,"Chiranjeevi","Meher Ramesh",
bhuvanavijayam-2023,"Bhuvanavijayam",2023,"Sunil Varma","Yalamanda Charan",
breathe-2023,"Breathe",2023,"Vennela Kishore","Vamsi Krishna Akella",
bubblegum-2023,"Bubblegum",2023,"Harsha Chemudu","Ravikanth Perepu",
butta-bomma-2023,"Butta Bomma",2023,"Surya Vasishta","Shouree Chandrashekhar T Ramesh",
case-30-2023,"Case 30",2023,"Siddharth Naidu","Sandeep Palle",
chakravyuham-2023,"Chakravyuham",2023,"Ajay","Chetukuri Madhusudhan",
changure-bangaru-raja-2023,"Changure Bangaru Raja",2023,"Karthik Rathnam","Sathish Varma",
circle-2023,"Circle",2023,"Sai Ronak","Neelakanta",
csi-sanatan-2023,"Csi Sanatan",2023,"Aadi Saikumar","Siva Shankar Dev",
das-ka-dhamki-2023,"Das Ka Dhamki",2023,"Vishwak Sen","Vishwak Sen",
dochevaarevarura-2023,"Dochevaarevarura",2023,"Pranava Chandra","Siva Nageshwara Rao",
echo-2023,"Echo",2023,"Srikanth","Nawin Ghanesh",
