Priority,Celebrity ID,Name,Movie Count,Status,Issue,Suggested Wikipedia URL,Action Required
"LOW","6e26b333-73af-401d-ab8c-35fcbc15d928","Anandhi",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Anandhi","Add (actor)/(actress)/(director) to URL"
"LOW","09bb3e36-94a5-4372-9f44-0c6ac875bb0d","Ashwini",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Ashwini","Add (actor)/(actress)/(director) to URL"
"LOW","d434530d-44bb-4002-9ca4-9558f15d0a6e","Srikanth Meka",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Srikanth_Meka","Find correct Wikipedia name/spelling"
"LOW","3f62e694-4a62-4c63-91b2-44eb59c6bc7f","Indraja",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Indraja","Add (actor)/(actress)/(director) to URL"
"LOW","1ae8b834-1ce2-4a1d-9070-a584ae2f10aa","Nandu Vijay Krishna",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Nandu_Vijay_Krishna","Find correct Wikipedia name/spelling"
"LOW","1e8b3bef-5646-417d-9844-a5921c9e9866","Anusha",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Anusha","Add (actor)/(actress)/(director) to URL"
"LOW","2320d7a8-9fe9-4219-a2c8-2cfc5f478059","R. S. Prakash",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/R._S._Prakash","Find correct Wikipedia name/spelling"
"LOW","ec10df4d-efc7-4bde-a586-d079e0ccad1d","Veerabhadram",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Veerabhadram","Find correct Wikipedia name/spelling"
"LOW","d99381d1-b5e7-41b3-8f82-426ff8f72416","Siva Nageshwara Rao",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Siva_Nageshwara_Rao","Find correct Wikipedia name/spelling"
"LOW","ffbabfab-2a84-4b39-a54e-819f24c87a26","A. Chandra",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/A._Chandra","Find correct Wikipedia name/spelling"
"LOW","ad5a279c-d549-43cc-b050-b55e225dce44","Devi Prasad",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Devi_Prasad","Add (actor)/(actress)/(director) to URL"
"LOW","5113ea5f-7cbb-42a5-9aeb-a4a8d6b927a0","G. Ram Prasad",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/G._Ram_Prasad","Find correct Wikipedia name/spelling"
"LOW","ce50ce06-41d8-405a-8022-4e7583aa4ea8","Mohan Gandhi",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Mohan_Gandhi","Find correct Wikipedia name/spelling"
"LOW","b62e3bcc-5640-4db5-9d24-ef25bec226a3","Madan",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Madan","Add (actor)/(actress)/(director) to URL"
"LOW","be1e9196-ba7b-4028-8df7-f5936605849f","Vikram Kumar",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Vikram_Kumar","Add (actor)/(actress)/(director) to URL"
"LOW","52292e26-0955-4978-8929-c09687e16ffb","Khushboo",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Khushboo","Add (actor)/(actress)/(director) to URL"
"LOW","ca7cc781-8ed0-4b31-bfbc-9fe8b2cbbcb1","Ali Basha",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Ali_Basha","Find correct Wikipedia name/spelling"
"LOW","8b608479-b580-44f6-b6b3-81edfdea7889","Urvashi",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Urvashi","Add (actor)/(actress)/(director) to URL"
"LOW","30d83158-8474-41e0-9f8f-1dbc132a2136","Kavitha",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Kavitha","Add (actor)/(actress)/(director) to URL"
"LOW","fa416e09-3231-4962-9ac7-0461d4dbd468","Naresh Agastya",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Naresh_Agastya","Find correct Wikipedia name/spelling"
"LOW","ab0e597a-5523-4c23-8449-bcf7e76ace93","Divya Vani",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Divya_Vani","Find correct Wikipedia name/spelling"
"LOW","258ddfca-193c-4ec1-babc-f42ecbad95f0","Ravi Varma",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Ravi_Varma","Add (actor)/(actress)/(director) to URL"
"LOW","2d1aea0b-b2c0-4ac5-a046-d88b41131319","Thiruveer Reddy",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Thiruveer_Reddy","Find correct Wikipedia name/spelling"
"LOW","71419a4a-bcfe-4073-bced-45f7b1b96999","Swetaa Varma",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Swetaa_Varma","Find correct Wikipedia name/spelling"
"LOW","e32fc180-3bd8-405c-a96b-5a74aef91b5c","Neha Solanki",0,"not_found","Wikipedia page not found - may need alternate name/spelling","https://en.wikipedia.org/wiki/Neha_Solanki","Find correct Wikipedia name/spelling"
