Slug,Title (English),Title (Telugu),Release Year,Box Office Category,Current Rating,TMDB/Avg Rating,Review Rating,Director,Hero,Heroine,Genres,Is Blockbuster,Is Classic,Is Underrated,Story Score,Direction Score,Performance Score,Suggested Rating,Notes
eternity-2025,"Eternity","",2025,hit,7.4,7.12,,"David Freyne","Elizabeth Olsen","Miles Teller","Romance; Comedy; Drama",FALSE,FALSE,FALSE,,,,,
su-from-so-2025,"Su from So","",2025,hit,7.4,7.4,,"JP Tuminad","Shaneel Gautham","JP Tuminad","Comedy; Horror",FALSE,FALSE,FALSE,,,,,
hunting-season-2025,"Hunting Season","",2025,hit,7.4,7.14,,"Raja Collins","Mel Gibson","Shelley Hennig","Action; Drama; Thriller",FALSE,FALSE,FALSE,,,,,
santosh-2025,"Santosh","",2025,hit,7.4,7.06,,"Sandhya Suri","Shahana Goswami","Sunita Rajwar","Crime; Drama; Thriller",FALSE,FALSE,FALSE,,,,,
bugonia-2025,"Bugonia","",2025,hit,7.4,7.41,,"Yorgos Lanthimos","Emma Stone","Jesse Plemons","Science Fiction; Crime",FALSE,FALSE,FALSE,,,,,
thudarum-2025,"Thudarum","",2025,hit,7.4,7.44,,"Tharun Moorthy","Mohanlal","Shobana","Action; Drama; Thriller",FALSE,FALSE,FALSE,,,,,
final-destination-bloodlines-2025,"Final Destination Bloodlines","ఫైనల్ డెస్టినేషన్ బ్లడ్‌లైన్స్",2025,hit,7.4,7.1,,"Adam B. Stein","Kaitlyn Santa Juana","Teo Briones","Horror; Mystery",FALSE,FALSE,FALSE,,,,,
avatar-fire-and-ash-2025,"Avatar: Fire and Ash","",2025,hit,7.4,7.37,,"James Cameron","Sam Worthington","Zoe Saldaña","Science Fiction; Adventure; Fantasy",FALSE,FALSE,FALSE,,,,,
superman-2025,"Superman","సూపర్",2025,hit,7.4,7.39,,"James Gunn","David Corenswet","Rachel Brosnahan","Science Fiction; Adventure; Action",FALSE,FALSE,FALSE,,,,,
sitaare-zameen-par-2025,"Sitaare Zameen Par","",2025,hit,7.4,7.13,,"R. S. Prasanna","Aamir Khan","Genelia D'Souza","Comedy; Drama",FALSE,FALSE,FALSE,,,,,
lilo-stitch-2025,"Lilo & Stitch","",2025,hit,7.3,7.25,,"Dean Fleischer Camp","Maia Kealoha","Sydney Agudong","Family; Science Fiction; Comedy",FALSE,FALSE,FALSE,,,,,
lokah-chapter-1-chandra-2025,"Lokah Chapter 1: Chandra","",2025,hit,7.3,7.32,,"Dominic Arun","Kalyani Priyadarshan","Naslen","Action; Adventure; Fantasy",FALSE,FALSE,FALSE,,,,,
nobody-2-2025,"Nobody 2","",2025,hit,7.3,7.02,,"Timo Tjahjanto","Bob Odenkirk","Connie Nielsen","Action; Thriller",FALSE,FALSE,FALSE,,,,,
ballerina-2025,"Ballerina","",2025,hit,7.3,7.3,,"Len Wiseman","Ana de Armas","Keanu Reeves","Action; Thriller; Crime",FALSE,FALSE,FALSE,,,,,
predator-badlands-2025,"Predator: Badlands","",2025,hit,7.3,7.32,,"Dan Trachtenberg","Elle Fanning","Dimitrius Schuster-Koloamatangi","Action; Science Fiction; Adventure",FALSE,FALSE,FALSE,,,,,
the-fantastic-4-first-steps-2025,"The Fantastic 4: First Steps","",2025,hit,7.3,7.01,,"Matt Shakman","Pedro Pascal","Vanessa Kirby","Science Fiction; Adventure; Action",FALSE,FALSE,FALSE,,,,,
weapons-2025,"Weapons","",2025,hit,7.3,7.31,,"Zach Cregger","Julia Garner","Josh Brolin","Horror; Mystery",FALSE,FALSE,FALSE,,,,,
kantara-a-legend-chapter-1-2025,"Kantara - A Legend: Chapter 1","",2025,hit,7.3,7,,"Rishab Shetty","Rishab Shetty","Rukmini Vasanth","Action; Drama; Fantasy",FALSE,FALSE,FALSE,,,,,
hit-the-third-case-2025,"HIT: The Third Case","",2025,hit,7.2,7.2,,"Sailesh Kolanu","Nani","Srinidhi Shetty","Crime; Thriller; Action",TRUE,FALSE,TRUE,,,,,
roofman-2025,"Roofman","",2025,hit,7.2,7.18,,"Derek Cianfrance","Channing Tatum","Kirsten Dunst","Crime; Comedy; Drama",FALSE,FALSE,FALSE,,,,,
kuberaa-2025,"Kuberaa","",2025,hit,7.2,7.2,,"Sekhar Kammula","Dhanush","Rashmika Mandanna","Thriller; Social; Drama",TRUE,FALSE,TRUE,,,,,
wake-up-dead-man-a-knives-out-mystery-2025,"Wake Up Dead Man: A Knives Out Mystery","",2025,hit,7.2,7.21,,"Rian Johnson","Daniel Craig","Josh O'Connor","Thriller; Mystery; Comedy",FALSE,FALSE,FALSE,,,,,
mission-impossible-the-final-reckoning-2025,"Mission: Impossible - The Final Reckoning","మిషన్: ఇంపాన బుల్ - ద ఫైనల్ రెకనింగ్",2025,hit,7.2,7.23,,"Christopher McQuarrie","Tom Cruise","Hayley Atwell","Action; Thriller; Adventure",FALSE,FALSE,FALSE,,,,,
fackham-hall-2025,"Fackham Hall","",2025,hit,7.2,7.19,,"Jim O'Hanlon","Thomasin McKenzie","Ben Radcliffe","Comedy; History",FALSE,FALSE,FALSE,,,,,
sarangapani-jathakam-2025,"Sarangapani Jathakam","సారంగపాణి జాతకం",2025,hit,7,7,,"Mohana Krishna Indraganti","Priyadarshi Pullikonda","Roopa Koduvayur","Comedy; Drama; Romance",TRUE,FALSE,TRUE,,,,,
mokshapatam-2025,"Mokshapatam","",2025,hit,7,7,,"Rahul Vanaja Rajeshwar","Thiruveer Reddy","Pooja Kiran","Crime; Thriller",TRUE,FALSE,TRUE,,,,,
shambhala-2025,"Shambhala","",2025,hit,7,7,,"Toshio Sekine","Mo Tzu-Yi","Rina Takeda","Drama",TRUE,FALSE,TRUE,,,,,
veera-dheera-sooran-part-2-2025,"Veera Dheera Sooran: Part 2","",2025,average,7,6.96,,"S. U. Arunkumar","Vikram","S. J. Suryah","Action; Crime; Drama; Thriller",FALSE,FALSE,FALSE,,,,,
pontons-heart-2025,"Ponton's Heart","",2025,hit,7,7,,"Senad Šahmanović","Marija Labudović","Jadranka Mamić","Drama; Romance; Comedy",TRUE,FALSE,TRUE,,,,,
mazaka-2025,"Mazaka","మజాకా",2025,hit,7,7,,"Trinadha Rao Nakkina","Sundeep Kishan","Ritu Varma","Action; Comedy; Romance",TRUE,FALSE,TRUE,,,,,
paradha-2025,"Paradha","",2025,hit,7,7,,"Praveen Kandregula","Rag Mayur","Anupama Parameswaran","Drama",TRUE,FALSE,TRUE,,,,,
subham-2025,"Subham","",2025,hit,7,7,,"Praveen Kandregula","Srinivas Gavireddy","Samantha","Horror; Comedy",TRUE,FALSE,TRUE,,,,,
dhandoraa-2025,"Dhandoraa","",2025,hit,7,7,,"Murali Kanth Devasoth","Sivaji Sontineni","Bindu Madhavi","Romance; Drama",TRUE,FALSE,TRUE,,,,,
regretting-you-2025,"Regretting You","",2025,hit,7,7.01,,"Josh Boone","Allison Williams","Mckenna Grace","Romance; Drama",FALSE,FALSE,FALSE,,,,,
elio-2025,"Elio","",2025,average,7,6.97,,"Madeline Sharafian","Yonas Kibreab","Remy Edgerly","Family; Comedy; Adventure; Animation; Science Fiction",FALSE,FALSE,FALSE,,,,,
mowgli-2025,"Mowgli","",2025,hit,7,7,,"Sandeep Raj","Roshan Kanakala","Mounika Reddy","Romance; Action; Adventure; Drama",TRUE,FALSE,TRUE,,,,,
five-nights-at-freddy-s-2-2025,"Five Nights at Freddy's 2","",2025,average,6.9,6.9,,"Emma Tammi","Josh Hutcherson","Piper Rubio","Horror; Thriller",FALSE,FALSE,FALSE,,,,,
officer-on-duty-2025,"Officer on Duty","",2025,average,6.9,6.88,,"Jithu Ashraf","Kunchacko Boban","Priyamani","Crime; Thriller",FALSE,FALSE,FALSE,,,,,
the-conjuring-last-rites-2025,"The Conjuring: Last Rites","",2025,average,6.9,6.94,,"Michael Chaves","Patrick Wilson","Vera Farmiga","Horror",FALSE,FALSE,FALSE,,,,,
the-long-walk-2025,"The Long Walk","",2025,average,6.9,6.92,,"Francis Lawrence","Cooper Hoffman","David Jonsson","Science Fiction; Thriller; Horror",FALSE,FALSE,FALSE,,,,,
london-calling-2025,"London Calling","",2025,average,6.9,6.9,,"Allan Ungar","Josh Duhamel","Aidan Gillen","Action; Crime; Comedy; Thriller",FALSE,FALSE,FALSE,,,,,
